teamName,playerName,position,updated,injury,injuryStatus
Portland,Deandre Ayton,C,"Sun, Mar 30",Calf,Game Time Decision
Portland,Scoot Henderson,PG,"Sun, Mar 30",Concussion,Game Time Decision
Portland,Jerami Grant,PF,"Sun, Mar 30",Knee,Game Time Decision
Portland,Bryce McGowens,SF,"Thu, Mar 27",Ribs,Out for the season
Portland,Sidy Cissoko,SF,"Wed, Mar 26",Ankle,Game Time Decision
Portland,Robert Williams III,C,"Fri, Mar 21",Knee,Expected to be out until at least Oct 1
Sacramento,Devin Carter,SG,"Sun, Mar 30",Shoulder,Expected to be out until at least Apr 2
Sacramento,Jake LaRavia,SF,"Fri, Mar 28",Thumb,Expected to be out until at least Apr 6
San Antonio,De'Aaron Fox,PG,"Thu, Mar 13",Finger,Out for the season
San Antonio,Victor Wembanyama,C,"Fri, Feb 21",Shoulder,Out for the season
San Antonio,Riley Minix,SF,"Wed, Jan 15",Shoulder,Out for the season
Toronto,Immanuel Quickley,PG,"Mon, Mar 31",Rest,Game Time Decision
Toronto,Jakob Poeltl,C,"Mon, Mar 31",Rest,Game Time Decision
Toronto,Gradey Dick,SG,"Mon, Mar 31",Knee,Game Time Decision
Toronto,Jared Rhoden,SG,"Sun, Mar 30",Hand,Game Time Decision
Toronto,Brandon Ingram,SF,"Tue, Mar 25",Ankle,Expected to be out until at least Apr 9
Toronto,Ulrich Chomche,C,"Wed, Feb 19",Knee,Out for the season
Utah,Collin Sexton,SG,"Sun, Mar 30",Pelvis,Game Time Decision
Utah,Walker Kessler,C,"Sun, Mar 30",Rest,Expected to be out until at least Apr 2
Utah,Lauri Markkanen,PF,"Sun, Mar 30",Knee,Expected to be out until at least Apr 2
Utah,EJ Harkless,SG,"Sat, Mar 29",Groin,Expected to be out until at least Apr 2
Utah,Jordan Clarkson,PG,"Thu, Mar 27",Foot,Out for the season
Utah,John Collins,C,"Wed, Mar 19",Ankle,Expected to be out until at least Apr 9
Utah,Taylor Hendricks,PF,"Fri, Nov 1",Lower Leg,Out for the season
Washington,Kyshawn George,SF,"Sun, Mar 30",Ankle,Expected to be out until at least Apr 2
Washington,Khris Middleton,SF,"Sun, Mar 30",Knee,Expected to be out until at least Apr 2
Washington,Anthony Gill,PF,"Sun, Mar 30",Hip,Expected to be out until at least Apr 2
Washington,Malcolm Brogdon,PG,"Sun, Mar 30",Ankle,Expected to be out until at least Apr 2
Washington,Saddiq Bey,SF,"Fri, Mar 21",Knee,Expected to be out until at least Apr 2
Washington,Bilal Coulibaly,SF,"Thu, Mar 20",Hamstring,Expected to be out until at least Oct 1
Washington,Corey Kispert,SG,"Tue, Mar 18",Thumb,Out for the season
