PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PTS,EFF
1626168,203,Trey Lyles,1610612758,SAC,49,18.4,2.1,5.2,0.409,1.2,3.5,0.347,0.7,1.0,0.714,1.1,3.4,4.5,1.1,0.6,0.4,0.5,6.2,8.8
1631323,204,Simone Fontecchio,1610612765,DET,55,17.3,2.0,5.3,0.385,1.0,3.2,0.32,1.1,1.3,0.811,0.7,2.3,3.0,0.9,0.4,0.2,0.8,6.2,6.4
1641741,205,Ricky Council IV,1610612755,PHI,51,14.3,2.1,5.1,0.407,0.7,2.3,0.296,1.3,1.6,0.817,0.7,1.5,2.2,1.1,0.5,0.1,0.5,6.1,6.2
203552,206,Seth Curry,1610612766,CHA,50,14.4,2.2,4.8,0.469,1.2,2.6,0.453,0.4,0.5,0.8,0.4,1.2,1.6,0.6,0.5,0.1,0.4,6.0,5.8
1642347,207,Jamal Shead,1610612761,TOR,55,17.4,2.3,5.5,0.425,0.8,2.4,0.346,0.5,0.7,0.737,0.3,1.0,1.2,3.6,0.5,0.1,1.5,6.0,6.6
1642346,208,Ryan Dunn,1610612756,PHX,55,17.5,2.4,5.7,0.431,0.9,3.0,0.301,0.2,0.5,0.44,0.9,2.2,3.1,0.8,0.4,0.5,0.5,6.0,6.9
1641767,209,Ben Sheppard,1610612754,IND,45,20.4,2.2,4.9,0.439,1.2,3.4,0.368,0.4,0.4,0.9,0.7,2.0,2.7,1.2,0.6,0.3,0.3,6.0,7.6
1642270,210,Donovan Clingan,1610612757,POR,48,17.0,2.5,4.4,0.557,0.1,0.5,0.292,0.8,1.3,0.625,2.8,4.1,6.9,0.9,0.5,1.6,1.2,5.9,12.1
1628380,211,Zach Collins,1610612741,CHI,43,14.1,2.1,4.4,0.484,0.5,1.6,0.29,1.2,1.3,0.879,1.4,2.2,3.7,1.7,0.5,0.4,0.7,5.9,8.9
1631204,212,Marcus Sasser,1610612765,DET,47,13.5,2.2,4.7,0.464,0.9,2.5,0.368,0.6,0.7,0.839,0.3,0.8,1.1,2.2,0.6,0.1,0.9,5.9,6.4
1629003,213,Shake Milton,1610612747,LAL,45,15.2,2.1,4.5,0.458,0.8,2.0,0.37,0.9,1.1,0.8,0.5,1.4,1.9,2.0,0.4,0.1,0.7,5.8,6.7
1630191,214,Isaiah Stewart,1610612765,DET,56,19.8,2.3,4.3,0.539,0.2,0.7,0.3,0.9,1.2,0.758,1.9,3.7,5.6,1.6,0.3,1.4,1.0,5.8,11.5
1629750,215,Javonte Green,1610612739,CLE,51,21.5,2.0,4.4,0.451,0.7,2.1,0.352,1.0,1.3,0.758,1.0,2.6,3.5,0.9,1.1,0.6,0.5,5.7,8.5
1630526,216,Jeremiah Robinson-Earl,1610612740,NOP,47,17.6,2.1,4.8,0.451,0.7,2.2,0.333,0.7,0.8,0.842,1.6,2.9,4.5,1.1,0.6,0.1,0.7,5.7,8.7
1628371,217,Jonathan Isaac,1610612753,ORL,54,16.2,2.0,5.0,0.409,0.6,2.4,0.26,1.0,1.5,0.679,1.8,3.0,4.9,0.5,0.8,1.1,0.4,5.7,9.1
1629026,218,Kenrich Williams,1610612760,OKC,49,14.5,2.2,4.5,0.495,0.9,2.3,0.389,0.3,0.4,0.889,1.0,2.3,3.3,1.2,0.6,0.1,0.6,5.7,8.1
1629659,219,Talen Horton-Tucker,1610612741,CHI,43,11.4,2.0,4.6,0.444,0.7,2.0,0.36,0.9,1.2,0.725,0.3,1.4,1.7,1.3,0.4,0.2,0.7,5.7,5.8
1627780,220,Gary Payton II,1610612744,GSW,49,13.6,2.4,4.3,0.564,0.3,1.3,0.258,0.5,0.7,0.697,0.8,2.0,2.8,1.3,0.7,0.3,0.6,5.7,8.1
1629216,221,Gabe Vincent,1610612747,LAL,51,20.5,2.1,5.4,0.386,1.3,3.8,0.328,0.2,0.3,0.643,0.3,1.0,1.3,1.4,0.7,0.2,0.6,5.6,5.3
1641716,222,Jarace Walker,1610612754,IND,55,15.5,2.0,4.4,0.455,0.8,2.3,0.368,0.7,1.1,0.644,0.3,2.6,2.9,1.4,0.8,0.4,1.0,5.6,7.3
1642367,223,Jonathan Mogbo,1610612761,TOR,48,18.1,2.1,4.6,0.455,0.3,1.0,0.298,0.9,1.3,0.703,1.6,2.6,4.1,1.7,0.8,0.5,0.9,5.4,8.8
1629234,224,Drew Eubanks,1610612746,LAC,44,14.4,2.2,3.7,0.605,0.1,0.1,0.5,0.8,1.3,0.632,1.1,3.2,4.3,1.1,0.3,0.8,0.8,5.3,9.0
1631217,225,Moussa Diabaté,1610612766,CHA,51,18.5,2.2,3.7,0.588,0.0,0.0,0.0,0.9,1.7,0.565,2.9,3.8,6.7,0.8,0.7,0.6,0.9,5.3,11.1
1628436,226,Luke Kornet,1610612738,BOS,53,17.5,2.1,3.2,0.659,0.0,0.0,0.0,0.9,1.3,0.746,2.3,2.6,4.9,1.6,0.5,1.0,0.4,5.2,11.4
1642275,227,Tidjane Salaün,1610612766,CHA,45,19.2,1.6,5.3,0.31,0.9,3.2,0.282,0.9,1.3,0.7,1.1,3.0,4.1,1.0,0.5,0.3,0.9,5.1,6.1
203937,228,Kyle Anderson,1610612748,MIA,45,14.8,2.0,4.4,0.447,0.5,1.3,0.368,0.7,1.0,0.698,0.8,2.2,3.1,2.1,0.6,0.5,0.5,5.1,8.2
1629674,229,Neemias Queta,1610612738,BOS,47,14.1,2.1,3.3,0.66,0.0,0.0,0.0,0.7,1.0,0.729,1.4,2.3,3.7,0.6,0.3,0.6,0.6,5.0,8.4
1630322,230,Lindy Waters III,1610612765,DET,44,15.5,1.8,4.9,0.369,1.2,3.6,0.327,0.2,0.3,0.727,0.4,1.8,2.2,1.0,0.5,0.2,0.4,5.0,5.4
1626172,231,Kevon Looney,1610612744,GSW,55,15.8,2.1,4.2,0.507,0.0,0.0,0.0,0.8,1.3,0.568,2.8,3.9,6.7,1.8,0.7,0.4,0.6,5.0,11.3
