,NAME,RBI,SEASON,TM,G,AB,R,H,2B,3B,HR,BB,HBP,SO,SB,CS,PA,TB,XBH,SH,SF,IBB,GIDP,AVG,OBP,SLG,OPS,WRC,WRAA,WOBA,WRC+,BRAA,_game_idx,_stat,_teams,_page_id,_sport
,Marcell OzunaM. Ozuna,48,2025,ATL,100,344,43,80,11,0,15,72,2,95,0,0,423,136,26,0,5,2,8,.233,.364,.395,.759,58,8.3,.338,116,7.8,7,RBI,"['Brewers', 'Braves']",24471b1c-663e-8071-913d-e5f3fe767280,MLB
,William ContrerasW. Contreras,47,2025,MIL,105,396,61,102,20,0,9,59,1,83,5,2,460,149,29,0,4,4,8,.258,.352,.376,.728,57,3.2,.322,106,3.2,7,RBI,"['Brewers', 'Braves']",24471b1c-663e-8071-913d-e5f3fe767280,MLB
,Ozzie AlbiesO. Albies,43,2025,ATL,110,416,48,95,14,1,9,44,4,73,10,1,467,138,24,0,3,0,6,.228,.306,.332,.638,44,-10.2,.286,80,-10.8,7,RBI,"['Brewers', 'Braves']",24471b1c-663e-8071-913d-e5f3fe767280,MLB
,Rhys HoskinsR. Hoskins,42,2025,MIL,82,269,30,65,12,1,12,38,5,85,2,1,318,115,25,0,6,2,6,.242,.340,.428,.767,42,4.9,.333,113,4.9,7,RBI,"['Brewers', 'Braves']",24471b1c-663e-8071-913d-e5f3fe767280,MLB
,Sean MurphyS. Murphy,42,2025,ATL,75,237,29,54,12,0,16,29,7,84,0,0,276,114,28,0,3,1,7,.228,.326,.481,.807,40,7.3,.347,122,7,7,RBI,"['Brewers', 'Braves']",24471b1c-663e-8071-913d-e5f3fe767280,MLB
,Sal FrelickS. Frelick,41,2025,MIL,98,362,49,107,12,3,8,27,7,53,17,4,402,149,23,3,3,0,1,.296,.353,.412,.765,55,7.4,.337,116,7.4,7,RBI,"['Brewers', 'Braves']",24471b1c-663e-8071-913d-e5f3fe767280,MLB
,Drake BaldwinD. Baldwin,41,2025,ATL,79,241,26,68,11,0,11,23,2,46,0,0,266,112,22,0,0,0,5,.282,.350,.465,.814,40,8.9,.355,127,8.5,7,RBI,"['Brewers', 'Braves']",24471b1c-663e-8071-913d-e5f3fe767280,MLB
,Caleb DurbinC. Durbin,38,2025,MIL,87,276,39,74,15,0,5,22,15,30,10,5,319,104,20,2,4,0,4,.268,.350,.377,.727,40,2.9,.325,108,2.8,7,RBI,"['Brewers', 'Braves']",24471b1c-663e-8071-913d-e5f3fe767280,MLB
,Joey OrtizJ. Ortiz,37,2025,MIL,108,344,45,75,13,0,7,22,3,60,9,3,374,109,20,5,0,0,9,.218,.271,.317,.588,28,-15.5,.262,64,-15.6,7,RBI,"['Brewers', 'Braves']",24471b1c-663e-8071-913d-e5f3fe767280,MLB
,Isaac CollinsI. Collins,32,2025,MIL,90,247,39,69,11,1,6,37,3,66,12,4,290,100,18,2,1,0,4,.279,.378,.405,.783,42,8.4,.349,125,8.3,7,RBI,"['Brewers', 'Braves']",24471b1c-663e-8071-913d-e5f3fe767280,MLB
,Ronald Acuña Jr.R. Acuña Jr.,26,2025,ATL,55,196,48,60,9,1,14,42,0,62,4,1,238,113,24,0,0,3,1,.306,.429,.577,1.005,50,21.8,.427,177,21.6,7,RBI,"['Brewers', 'Braves']",24471b1c-663e-8071-913d-e5f3fe767280,MLB
,Eli WhiteE. White,24,2025,ATL,76,201,32,51,7,3,6,9,2,51,7,1,213,82,16,1,0,1,2,.254,.292,.408,.700,23,-1.9,.302,91,-2.2,7,RBI,"['Brewers', 'Braves']",24471b1c-663e-8071-913d-e5f3fe767280,MLB
,Andrew VaughnA. Vaughn,24,2025,MIL,19,67,13,25,4,0,6,8,0,10,0,0,77,47,10,0,2,0,2,.373,.429,.701,1.130,19,9.7,.469,207,9.7,7,RBI,"['Brewers', 'Braves']",24471b1c-663e-8071-913d-e5f3fe767280,MLB
,Jake BauersJ. Bauers,18,2025,MIL,59,127,16,25,5,0,5,23,0,45,5,0,151,45,10,0,1,1,0,.197,.318,.354,.672,16,-1.6,.300,91,-1.6,7,RBI,"['Brewers', 'Braves']",24471b1c-663e-8071-913d-e5f3fe767280,MLB
,Nick AllenN. Allen,18,2025,ATL,101,291,27,66,9,0,0,28,3,79,6,5,331,75,9,6,3,0,5,.227,.298,.258,.556,23,-15.3,.256,59,-15.7,7,RBI,"['Brewers', 'Braves']",24471b1c-663e-8071-913d-e5f3fe767280,MLB
,Alex VerdugoA. Verdugo,12,2025,ATL,56,197,21,47,10,0,0,14,2,31,1,0,213,57,10,0,0,0,1,.239,.296,.289,.585,17,-8.4,.265,65,-8.6,7,RBI,"['Brewers', 'Braves']",24471b1c-663e-8071-913d-e5f3fe767280,MLB
,Jurickson ProfarJ. Profar,11,2025,ATL,30,125,17,29,7,1,3,12,1,25,2,0,138,47,11,0,0,0,2,.232,.304,.376,.680,15,-1.5,.301,90,-1.6,7,RBI,"['Brewers', 'Braves']",24471b1c-663e-8071-913d-e5f3fe767280,MLB
,Eric HaaseE. Haase,9,2025,MIL,30,70,11,16,3,0,2,4,2,31,0,0,77,25,5,1,0,0,1,.229,.289,.357,.647,7,-1.7,.287,82,-1.7,7,RBI,"['Brewers', 'Braves']",24471b1c-663e-8071-913d-e5f3fe767280,MLB
,Andruw MonasterioA. Monasterio,8,2025,MIL,35,56,10,14,4,0,1,5,0,13,1,0,61,21,5,0,0,0,1,.250,.311,.375,.686,7,-0.5,.303,93,-0.5,7,RBI,"['Brewers', 'Braves']",24471b1c-663e-8071-913d-e5f3fe767280,MLB
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,RBI,"['Brewers', 'Braves']",24471b1c-663e-8071-913d-e5f3fe767280,MLB
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,RBI,"['Brewers', 'Braves']",24471b1c-663e-8071-913d-e5f3fe767280,MLB
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,RBI,"['Brewers', 'Braves']",24471b1c-663e-8071-913d-e5f3fe767280,MLB
,Seiya SuzukiS. Suzuki,81,2025,CHC,106,418,56,103,25,3,26,43,0,125,3,2,466,212,54,0,5,1,11,.246,.313,.507,.820,68,13,.348,127,14.6,8,RBI,"['Reds', 'Cubs']",24471b1c-663e-80a5-bb22-dbee11c2ba07,MLB
,Pete Crow-ArmstrongP. Crow-Armstrong,78,2025,CHC,108,423,74,114,31,4,27,20,4,108,29,5,455,234,62,4,4,0,1,.270,.306,.553,.859,71,17.8,.362,136,19.4,8,RBI,"['Reds', 'Cubs']",24471b1c-663e-80a5-bb22-dbee11c2ba07,MLB
,Elly De La CruzE. De La Cruz,72,2025,CIN,112,429,80,121,23,3,19,51,2,118,30,6,483,207,45,0,1,9,11,.282,.360,.483,.843,74,17.8,.359,125,14.4,8,RBI,"['Reds', 'Cubs']",24471b1c-663e-80a5-bb22-dbee11c2ba07,MLB
,Kyle TuckerK. Tucker,61,2025,CHC,108,399,75,109,21,4,18,74,2,67,23,2,478,192,43,0,3,7,6,.273,.387,.481,.868,79,23,.373,144,24.7,8,RBI,"['Reds', 'Cubs']",24471b1c-663e-80a5-bb22-dbee11c2ba07,MLB
,Michael BuschM. Busch,61,2025,CHC,104,349,50,94,15,3,21,38,9,95,4,0,396,178,39,0,0,1,1,.269,.356,.510,.866,65,19,.373,144,20.4,8,RBI,"['Reds', 'Cubs']",24471b1c-663e-80a5-bb22-dbee11c2ba07,MLB
,Ian HappI. Happ,52,2025,CHC,100,392,62,89,18,0,15,56,1,101,5,2,453,152,33,0,4,0,6,.227,.322,.388,.710,53,0.2,.314,103,1.8,8,RBI,"['Reds', 'Cubs']",24471b1c-663e-80a5-bb22-dbee11c2ba07,MLB
,Dansby SwansonD. Swanson,51,2025,CHC,108,414,60,102,14,2,16,31,0,125,8,3,450,168,32,1,4,1,4,.246,.296,.406,.702,49,-3.5,.304,96,-1.9,8,RBI,"['Reds', 'Cubs']",24471b1c-663e-80a5-bb22-dbee11c2ba07,MLB
,Spencer SteerS. Steer,46,2025,CIN,103,369,45,88,15,2,12,32,4,93,6,1,406,143,29,0,1,0,10,.238,.305,.388,.693,45,-2.8,.305,88,-5.7,8,RBI,"['Reds', 'Cubs']",24471b1c-663e-80a5-bb22-dbee11c2ba07,MLB
,Nico HoernerN. Hoerner,46,2025,CHC,106,403,59,118,19,3,4,24,6,35,19,3,436,155,26,0,3,0,2,.293,.339,.385,.724,53,2,.319,107,3.5,8,RBI,"['Reds', 'Cubs']",24471b1c-663e-80a5-bb22-dbee11c2ba07,MLB
,Austin HaysA. Hays,43,2025,CIN,62,231,41,63,9,4,10,21,1,62,4,0,256,110,23,0,3,1,6,.273,.332,.476,.808,37,6.6,.346,116,4.8,8,RBI,"['Reds', 'Cubs']",24471b1c-663e-80a5-bb22-dbee11c2ba07,MLB
,Gavin LuxG. Lux,42,2025,CIN,98,314,34,86,18,1,4,42,0,82,1,0,356,118,23,0,0,0,3,.274,.360,.376,.735,46,4.5,.329,105,2,8,RBI,"['Reds', 'Cubs']",24471b1c-663e-80a5-bb22-dbee11c2ba07,MLB
,Matt McLainM. McLain,38,2025,CIN,102,374,54,84,12,0,11,40,5,112,15,1,422,129,23,1,2,0,6,.225,.306,.345,.651,42,-7.4,.292,79,-10.4,8,RBI,"['Reds', 'Cubs']",24471b1c-663e-80a5-bb22-dbee11c2ba07,MLB
,Carson KellyC. Kelly,36,2025,CHC,73,235,42,64,12,1,13,35,3,43,0,0,276,117,26,0,3,0,7,.272,.370,.498,.867,46,13.5,.374,145,14.5,8,RBI,"['Reds', 'Cubs']",24471b1c-663e-80a5-bb22-dbee11c2ba07,MLB
,TJ Friedl,36,2025,CIN,104,391,63,106,16,2,10,54,12,70,10,3,464,156,28,4,3,0,5,.271,.374,.399,.773,66,11.9,.345,116,8.6,8,RBI,"['Reds', 'Cubs']",24471b1c-663e-80a5-bb22-dbee11c2ba07,MLB
,Tyler StephensonT. Stephenson,34,2025,CIN,65,227,30,54,13,0,8,31,0,92,0,1,261,91,21,0,3,1,3,.238,.326,.401,.727,31,0.9,.318,97,-0.9,8,RBI,"['Reds', 'Cubs']",24471b1c-663e-80a5-bb22-dbee11c2ba07,MLB
,Will BensonW. Benson,32,2025,CIN,61,183,25,41,6,1,9,12,1,57,2,2,201,76,16,0,5,0,4,.224,.269,.415,.684,20,-3.5,.292,79,-4.9,8,RBI,"['Reds', 'Cubs']",24471b1c-663e-80a5-bb22-dbee11c2ba07,MLB
,Noelvi MarteN. Marte,28,2025,CIN,43,151,21,42,7,1,7,8,3,29,7,2,163,72,15,0,1,0,3,.278,.325,.477,.802,23,4.2,.346,116,3,8,RBI,"['Reds', 'Cubs']",24471b1c-663e-80a5-bb22-dbee11c2ba07,MLB
,Miguel AmayaM. Amaya,25,2025,CHC,27,93,14,26,9,0,4,4,1,22,0,0,100,47,13,1,1,0,0,.280,.313,.505,.819,15,2.8,.348,127,3.2,8,RBI,"['Reds', 'Cubs']",24471b1c-663e-80a5-bb22-dbee11c2ba07,MLB
,Matt ShawM. Shaw,25,2025,CHC,77,253,35,56,15,0,6,22,2,53,14,2,279,89,21,0,2,0,1,.221,.287,.352,.639,26,-7,.282,81,-6.1,8,RBI,"['Reds', 'Cubs']",24471b1c-663e-80a5-bb22-dbee11c2ba07,MLB
,Jake FraleyJ. Fraley,23,2025,CIN,61,155,28,38,7,0,6,24,1,38,4,2,180,63,13,0,0,1,0,.245,.350,.406,.756,24,3,.334,108,1.7,8,RBI,"['Reds', 'Cubs']",24471b1c-663e-80a5-bb22-dbee11c2ba07,MLB
,Christian Encarnacion-StrandC. Encarnacion-Strand,19,2025,CIN,36,130,13,27,4,0,6,3,2,32,0,2,137,49,10,0,2,0,1,.208,.234,.377,.610,10,-5.7,.262,58,-6.7,8,RBI,"['Reds', 'Cubs']",24471b1c-663e-80a5-bb22-dbee11c2ba07,MLB
,Reese McGuireR. McGuire,16,2025,CHC,25,81,11,20,1,0,6,2,0,17,0,0,85,39,7,1,1,0,2,.247,.262,.481,.743,10,0.1,.315,104,0.4,8,RBI,"['Reds', 'Cubs']",24471b1c-663e-80a5-bb22-dbee11c2ba07,MLB
,Jose TrevinoJ. Trevino,15,2025,CIN,63,193,23,49,18,0,4,12,0,24,0,0,209,79,22,1,3,0,7,.254,.293,.409,.703,23,-1.8,.303,87,-3.3,8,RBI,"['Reds', 'Cubs']",24471b1c-663e-80a5-bb22-dbee11c2ba07,MLB
,Santiago EspinalS. Espinal,14,2025,CIN,96,274,24,69,12,0,0,20,1,34,2,1,297,81,12,2,0,0,10,.252,.305,.296,.601,25,-10.1,.271,65,-12.2,8,RBI,"['Reds', 'Cubs']",24471b1c-663e-80a5-bb22-dbee11c2ba07,MLB
,Justin TurnerJ. Turner,13,2025,CHC,57,128,11,27,5,0,2,14,1,24,2,0,147,38,7,0,4,0,2,.211,.286,.297,.583,11,-6.1,.262,67,-5.6,8,RBI,"['Reds', 'Cubs']",24471b1c-663e-80a5-bb22-dbee11c2ba07,MLB
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,RBI,"['Reds', 'Cubs']",24471b1c-663e-80a5-bb22-dbee11c2ba07,MLB
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,RBI,"['Reds', 'Cubs']",24471b1c-663e-80a5-bb22-dbee11c2ba07,MLB
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,RBI,"['Reds', 'Cubs']",24471b1c-663e-80a5-bb22-dbee11c2ba07,MLB
,Bo BichetteB. Bichette,68,2025,TOR,110,465,53,138,33,1,13,27,3,75,4,3,497,212,47,0,2,2,13,.297,.338,.456,.794,70,11.7,.343,121,12.2,9,RBI,"['Blue Jays', 'Rockies']",24471b1c-663e-8042-b1d4-da1e9e303b67,MLB
,Hunter GoodmanH. Goodman,61,2025,COL,96,366,52,102,20,4,20,23,3,106,1,2,393,190,44,0,1,0,14,.279,.326,.519,.845,61,15,.361,120,9,9,RBI,"['Blue Jays', 'Rockies']",24471b1c-663e-8042-b1d4-da1e9e303b67,MLB
,Vladimir Guerrero Jr.V. Guerrero Jr.,58,2025,TOR,111,415,72,120,24,0,16,68,6,67,5,2,491,192,40,0,2,7,10,.289,.395,.463,.858,81,23.3,.372,142,23.9,9,RBI,"['Blue Jays', 'Rockies']",24471b1c-663e-8042-b1d4-da1e9e303b67,MLB
,George SpringerG. Springer,57,2025,TOR,101,344,66,100,18,1,18,51,3,76,12,0,402,174,37,0,4,1,10,.291,.383,.506,.889,70,22.5,.383,149,23,9,RBI,"['Blue Jays', 'Rockies']",24471b1c-663e-8042-b1d4-da1e9e303b67,MLB
,Addison BargerA. Barger,53,2025,TOR,89,312,48,81,25,1,16,22,2,84,3,1,336,156,42,0,0,4,3,.260,.313,.500,.813,48,8.2,.344,122,8.6,9,RBI,"['Blue Jays', 'Rockies']",24471b1c-663e-8042-b1d4-da1e9e303b67,MLB
,Alejandro KirkA. Kirk,47,2025,TOR,89,316,27,95,13,0,7,30,1,34,0,0,351,129,20,0,4,2,8,.301,.359,.408,.767,47,6.2,.336,116,6.6,9,RBI,"['Blue Jays', 'Rockies']",24471b1c-663e-8042-b1d4-da1e9e303b67,MLB
,Nathan LukesN. Lukes,43,2025,TOR,87,240,36,60,8,0,9,30,2,34,1,2,279,95,17,6,1,2,8,.250,.337,.396,.733,35,2,.322,107,2.3,9,RBI,"['Blue Jays', 'Rockies']",24471b1c-663e-8042-b1d4-da1e9e303b67,MLB
,Mickey MoniakM. Moniak,42,2025,COL,92,279,42,76,13,6,16,18,2,74,5,2,301,149,35,0,2,1,1,.272,.319,.534,.853,47,11.4,.360,119,6.8,9,RBI,"['Blue Jays', 'Rockies']",24471b1c-663e-8042-b1d4-da1e9e303b67,MLB
,Jordan BeckJ. Beck,40,2025,COL,98,362,49,100,19,5,13,30,3,110,12,7,396,168,37,0,1,0,7,.276,.336,.464,.800,57,10.4,.346,109,4.4,9,RBI,"['Blue Jays', 'Rockies']",24471b1c-663e-8042-b1d4-da1e9e303b67,MLB
,Ryan McMahonR. McMahon,35,2025,COL,100,350,42,76,15,1,16,49,1,127,2,1,401,141,32,0,1,1,4,.217,.314,.403,.717,47,0.5,.315,88,-5.6,9,RBI,"['Blue Jays', 'Rockies']",24471b1c-663e-8042-b1d4-da1e9e303b67,MLB
,Brenton DoyleB. Doyle,34,2025,COL,91,338,40,76,13,2,8,23,0,95,10,1,364,117,23,1,2,0,8,.225,.273,.346,.619,30,-12.3,.272,58,-17.8,9,RBI,"['Blue Jays', 'Rockies']",24471b1c-663e-8042-b1d4-da1e9e303b67,MLB
,Michael TogliaM. Toglia,32,2025,COL,85,299,22,58,15,1,11,27,1,126,3,0,329,108,27,0,2,2,7,.194,.261,.361,.623,27,-11.5,.270,57,-16.5,9,RBI,"['Blue Jays', 'Rockies']",24471b1c-663e-8042-b1d4-da1e9e303b67,MLB
,Ernie ClementE. Clement,32,2025,TOR,111,382,54,107,21,1,5,21,2,42,3,3,415,145,27,5,5,1,9,.280,.317,.380,.697,45,-3.3,.304,94,-2.8,9,RBI,"['Blue Jays', 'Rockies']",24471b1c-663e-8042-b1d4-da1e9e303b67,MLB
,Andrés GiménezA. Giménez,23,2025,TOR,61,211,26,46,7,0,5,16,9,39,10,1,238,68,12,1,1,0,3,.218,.300,.322,.622,22,-6.2,.281,79,-5.9,9,RBI,"['Blue Jays', 'Rockies']",24471b1c-663e-8042-b1d4-da1e9e303b67,MLB
,Kyle FarmerK. Farmer,22,2025,COL,74,226,18,49,14,0,5,11,4,53,0,1,242,78,19,0,1,0,8,.217,.264,.345,.610,19,-8.9,.268,56,-12.6,9,RBI,"['Blue Jays', 'Rockies']",24471b1c-663e-8042-b1d4-da1e9e303b67,MLB
,Myles StrawM. Straw,22,2025,TOR,93,201,35,51,11,0,2,12,1,33,8,1,224,68,13,9,1,0,5,.254,.298,.338,.636,20,-5.8,.282,79,-5.5,9,RBI,"['Blue Jays', 'Rockies']",24471b1c-663e-8042-b1d4-da1e9e303b67,MLB
,Thairo EstradaT. Estrada,21,2025,COL,36,144,14,38,8,0,3,5,2,24,1,3,154,55,11,0,3,0,5,.264,.292,.382,.674,15,-2.7,.292,72,-5,9,RBI,"['Blue Jays', 'Rockies']",24471b1c-663e-8042-b1d4-da1e9e303b67,MLB
,Tyler FreemanT. Freeman,21,2025,COL,66,207,29,63,16,1,1,23,6,21,12,5,240,84,18,0,4,0,7,.304,.383,.406,.789,35,6.9,.349,111,3.2,9,RBI,"['Blue Jays', 'Rockies']",24471b1c-663e-8042-b1d4-da1e9e303b67,MLB
,Daulton VarshoD. Varsho,20,2025,TOR,26,98,14,19,5,1,8,6,0,35,1,0,107,50,14,0,3,1,0,.194,.234,.510,.744,12,-0.9,.303,94,-0.8,9,RBI,"['Blue Jays', 'Rockies']",24471b1c-663e-8042-b1d4-da1e9e303b67,MLB
,Anthony SantanderA. Santander,18,2025,TOR,50,184,14,33,5,0,6,24,0,55,0,0,209,56,11,0,1,1,6,.179,.273,.304,.577,15,-9.1,.259,64,-8.9,9,RBI,"['Blue Jays', 'Rockies']",24471b1c-663e-8042-b1d4-da1e9e303b67,MLB
,Ezequiel TovarE. Tovar,17,2025,COL,44,174,25,47,11,2,6,10,1,39,3,2,188,80,19,3,0,0,2,.270,.314,.460,.773,25,3,.334,101,0.2,9,RBI,"['Blue Jays', 'Rockies']",24471b1c-663e-8042-b1d4-da1e9e303b67,MLB
,Tyler HeinemanT. Heineman,16,2025,TOR,43,105,20,35,7,1,3,8,5,23,2,0,123,53,11,3,2,0,1,.333,.400,.505,.905,22,7.7,.391,154,7.8,9,RBI,"['Blue Jays', 'Rockies']",24471b1c-663e-8042-b1d4-da1e9e303b67,MLB
,Davis SchneiderD. Schneider,15,2025,TOR,46,101,18,22,3,0,5,21,2,32,1,1,124,40,8,0,0,0,3,.218,.363,.396,.759,17,2.8,.342,120,3,9,RBI,"['Blue Jays', 'Rockies']",24471b1c-663e-8042-b1d4-da1e9e303b67,MLB
,Ryan RitterR. Ritter,12,2025,COL,31,101,13,24,4,2,1,7,1,35,1,0,113,35,7,3,1,0,3,.238,.291,.347,.637,10,-3,.281,64,-4.7,9,RBI,"['Blue Jays', 'Rockies']",24471b1c-663e-8042-b1d4-da1e9e303b67,MLB
,Braxton FulfordB. Fulford,11,2025,COL,14,40,4,10,2,1,1,1,0,18,1,0,42,17,4,0,1,0,0,.250,.262,.425,.687,4,-0.8,.289,70,-1.5,9,RBI,"['Blue Jays', 'Rockies']",24471b1c-663e-8042-b1d4-da1e9e303b67,MLB
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,RBI,"['Blue Jays', 'Rockies']",24471b1c-663e-8042-b1d4-da1e9e303b67,MLB
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,RBI,"['Blue Jays', 'Rockies']",24471b1c-663e-8042-b1d4-da1e9e303b67,MLB
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,RBI,"['Blue Jays', 'Rockies']",24471b1c-663e-8042-b1d4-da1e9e303b67,MLB
,Taylor WardT. Ward,78,2025,LAA,109,417,58,95,25,2,25,46,2,131,3,1,471,199,52,0,6,1,8,.228,.304,.477,.781,62,7.3,.333,111,6.2,10,RBI,"['Rays', 'Angels']",24471b1c-663e-805d-a8ad-fe889f4ebbb3,MLB
,Junior CamineroJ. Caminero,72,2025,TBR,107,420,61,106,20,0,28,24,2,91,5,1,452,210,48,0,6,1,26,.252,.292,.500,.792,61,7.9,.335,119,10,10,RBI,"['Rays', 'Angels']",24471b1c-663e-805d-a8ad-fe889f4ebbb3,MLB
,Yandy DíazY. Díaz,65,2025,TBR,107,426,55,120,19,1,20,36,6,67,3,0,473,201,40,0,5,3,10,.282,.342,.472,.814,69,13.8,.350,129,16,10,RBI,"['Rays', 'Angels']",24471b1c-663e-805d-a8ad-fe889f4ebbb3,MLB
,Jo AdellJ. Adell,61,2025,LAA,104,349,40,80,14,1,21,26,9,98,3,1,385,159,36,0,1,0,5,.229,.299,.456,.754,49,3.9,.326,107,3,10,RBI,"['Rays', 'Angels']",24471b1c-663e-805d-a8ad-fe889f4ebbb3,MLB
,Jonathan ArandaJ. Aranda,54,2025,TBR,103,358,53,113,22,0,12,40,8,102,0,2,409,171,34,0,3,3,8,.316,.394,.478,.871,69,21.3,.378,148,23.2,10,RBI,"['Rays', 'Angels']",24471b1c-663e-805d-a8ad-fe889f4ebbb3,MLB
,Brandon LoweB. Lowe,51,2025,TBR,91,343,56,93,12,0,19,25,1,94,3,1,371,162,31,0,2,1,3,.271,.321,.472,.793,52,8.2,.341,123,9.9,10,RBI,"['Rays', 'Angels']",24471b1c-663e-805d-a8ad-fe889f4ebbb3,MLB
,Mike TroutM. Trout,47,2025,LAA,83,293,43,69,7,1,19,56,5,105,2,0,359,135,27,0,5,8,5,.235,.362,.461,.823,53,10.9,.351,124,10.1,10,RBI,"['Rays', 'Angels']",24471b1c-663e-805d-a8ad-fe889f4ebbb3,MLB
,Nolan SchanuelN. Schanuel,45,2025,LAA,107,397,51,110,20,1,9,50,7,56,5,1,460,159,30,3,3,4,8,.277,.365,.401,.766,63,8.8,.337,114,7.7,10,RBI,"['Rays', 'Angels']",24471b1c-663e-805d-a8ad-fe889f4ebbb3,MLB
,Zach NetoZ. Neto,41,2025,LAA,92,365,67,99,21,1,15,21,9,102,21,8,398,167,37,0,3,2,5,.271,.324,.458,.782,54,7.3,.336,114,6.4,10,RBI,"['Rays', 'Angels']",24471b1c-663e-805d-a8ad-fe889f4ebbb3,MLB
,Logan O'HoppeL. O'Hoppe,38,2025,LAA,88,318,32,76,6,1,18,16,2,105,2,1,337,138,25,0,1,0,7,.239,.279,.434,.713,38,-1.7,.308,94,-2.5,10,RBI,"['Rays', 'Angels']",24471b1c-663e-805d-a8ad-fe889f4ebbb3,MLB
,Taylor WallsT. Walls,37,2025,TBR,98,272,35,61,13,1,4,26,0,65,13,6,306,88,18,2,6,0,1,.224,.286,.324,.610,25,-10.7,.270,74,-9.3,10,RBI,"['Rays', 'Angels']",24471b1c-663e-805d-a8ad-fe889f4ebbb3,MLB
,Jorge SolerJ. Soler,34,2025,LAA,82,279,31,60,12,0,12,28,4,94,0,0,314,108,24,0,3,0,5,.215,.293,.387,.680,33,-3.8,.299,88,-4.5,10,RBI,"['Rays', 'Angels']",24471b1c-663e-805d-a8ad-fe889f4ebbb3,MLB
,Danny JansenD. Jansen,29,2025,TBR,73,221,28,45,8,0,11,33,3,68,0,0,259,86,19,1,1,0,4,.204,.314,.389,.703,30,-0.3,.312,103,0.9,10,RBI,"['Rays', 'Angels']",24471b1c-663e-805d-a8ad-fe889f4ebbb3,MLB
,Jake MangumJ. Mangum,28,2025,TBR,75,260,25,74,11,1,2,14,1,40,16,3,276,93,14,1,0,0,4,.285,.324,.358,.681,30,-2.6,.302,96,-1.4,10,RBI,"['Rays', 'Angels']",24471b1c-663e-805d-a8ad-fe889f4ebbb3,MLB
,Josh LoweJ. Lowe,27,2025,TBR,67,244,35,58,12,1,7,23,1,58,9,3,270,93,20,1,1,1,4,.238,.305,.381,.686,29,-2.8,.301,95,-1.6,10,RBI,"['Rays', 'Angels']",24471b1c-663e-805d-a8ad-fe889f4ebbb3,MLB
,José CaballeroJ. Caballero,27,2025,TBR,86,235,37,53,12,1,2,33,3,80,34,8,275,73,15,3,1,0,1,.226,.327,.311,.638,27,-4.8,.292,89,-3.5,10,RBI,"['Rays', 'Angels']",24471b1c-663e-805d-a8ad-fe889f4ebbb3,MLB
,Luis RengifoL. Rengifo,26,2025,LAA,104,365,39,88,13,1,5,22,3,72,4,6,393,118,19,1,2,0,7,.241,.288,.323,.612,33,-13.2,.272,69,-14.2,10,RBI,"['Rays', 'Angels']",24471b1c-663e-805d-a8ad-fe889f4ebbb3,MLB
,Yoán MoncadaY. Moncada,24,2025,LAA,46,145,23,31,6,1,8,19,3,43,0,0,168,63,15,0,1,0,2,.214,.315,.434,.750,22,1.9,.327,107,1.5,10,RBI,"['Rays', 'Angels']",24471b1c-663e-805d-a8ad-fe889f4ebbb3,MLB
,Kameron MisnerK. Misner,22,2025,TBR,71,197,27,42,9,1,5,16,1,69,8,1,217,68,15,1,2,0,1,.213,.273,.345,.618,18,-7.2,.272,76,-6.2,10,RBI,"['Rays', 'Angels']",24471b1c-663e-805d-a8ad-fe889f4ebbb3,MLB
,Christopher MorelC. Morel,19,2025,TBR,76,201,30,43,12,0,7,18,2,75,6,2,221,76,19,0,0,0,5,.214,.285,.378,.663,22,-3.8,.292,89,-2.8,10,RBI,"['Rays', 'Angels']",24471b1c-663e-805d-a8ad-fe889f4ebbb3,MLB
,Travis d'ArnaudT. d'Arnaud,17,2025,LAA,51,159,15,35,9,0,6,12,3,52,0,0,175,62,15,0,1,0,4,.220,.286,.390,.676,18,-2.5,.296,86,-2.9,10,RBI,"['Rays', 'Angels']",24471b1c-663e-805d-a8ad-fe889f4ebbb3,MLB
,Chandler SimpsonC. Simpson,15,2025,TBR,65,229,30,68,8,1,0,13,0,22,32,8,245,78,9,1,2,0,6,.297,.332,.341,.673,26,-3,.299,94,-1.9,10,RBI,"['Rays', 'Angels']",24471b1c-663e-805d-a8ad-fe889f4ebbb3,MLB
,Kevin NewmanK. Newman,11,2025,LAA,56,114,13,23,2,0,2,1,0,23,1,0,116,31,4,1,0,0,5,.202,.209,.272,.481,4,-9.7,.210,26,-10,10,RBI,"['Rays', 'Angels']",24471b1c-663e-805d-a8ad-fe889f4ebbb3,MLB
