,NAME,RBI,SEASON,TM,G,AB,R,H,2B,3B,HR,BB,HBP,SO,SB,CS,PA,TB,XBH,SH,SF,IBB,GIDP,AVG,OBP,SLG,OPS,WRC,WRAA,WOBA,WRC+,BRAA,_game_idx,_stat,_teams,_page_id,_sport
,Kyle StowersK. Stowers,71,2025,MIA,105,355,55,105,18,3,25,41,5,115,5,1,406,204,46,1,4,3,6,.296,.373,.575,.947,76,28.2,.400,157,27.3,2,RBI,"['Astros', 'Marlins']",24471b1c-663e-80a6-8341-cb5bf8b45916,MLB
,Christian WalkerC. Walker,58,2025,HOU,106,403,45,96,16,1,15,29,9,117,1,1,445,159,32,0,4,0,9,.238,.301,.395,.696,49,-3.2,.305,95,-2.7,2,RBI,"['Astros', 'Marlins']",24471b1c-663e-80a6-8341-cb5bf8b45916,MLB
,Jose AltuveJ. Altuve,57,2025,HOU,108,414,59,116,17,1,18,39,2,74,6,6,460,189,36,0,5,4,13,.280,.341,.457,.798,65,10.8,.343,121,11.3,2,RBI,"['Astros', 'Marlins']",24471b1c-663e-80a6-8341-cb5bf8b45916,MLB
,Otto LopezO. Lopez,55,2025,MIA,94,352,46,88,14,0,11,35,3,55,11,5,391,135,25,0,1,2,5,.250,.322,.384,.706,45,-0.9,.311,96,-1.8,2,RBI,"['Astros', 'Marlins']",24471b1c-663e-80a6-8341-cb5bf8b45916,MLB
,Isaac ParedesI. Paredes,50,2025,HOU,94,351,51,91,15,1,19,49,7,67,0,1,409,165,35,0,2,0,8,.259,.359,.470,.829,64,15.8,.362,134,16.3,2,RBI,"['Astros', 'Marlins']",24471b1c-663e-80a6-8341-cb5bf8b45916,MLB
,Agustín RamírezA. Ramírez,50,2025,MIA,86,344,48,83,24,1,17,22,0,72,5,2,367,160,42,0,1,1,10,.241,.286,.465,.751,45,2.1,.321,103,1.2,2,RBI,"['Astros', 'Marlins']",24471b1c-663e-80a6-8341-cb5bf8b45916,MLB
,Yainer DiazY. Diaz,45,2025,HOU,99,377,40,95,15,1,15,15,2,66,1,1,397,157,31,0,3,1,9,.252,.282,.416,.699,42,-4.3,.300,92,-3.8,2,RBI,"['Astros', 'Marlins']",24471b1c-663e-80a6-8341-cb5bf8b45916,MLB
,Cam SmithC. Smith,45,2025,HOU,96,345,39,87,18,2,7,32,5,107,5,1,383,130,27,0,1,0,10,.252,.324,.377,.701,44,-0.9,.311,99,-0.5,2,RBI,"['Astros', 'Marlins']",24471b1c-663e-80a6-8341-cb5bf8b45916,MLB
,Jeremy PeñaJ. Peña,40,2025,HOU,84,326,48,105,18,1,11,20,10,57,15,2,359,158,30,1,2,1,6,.322,.377,.485,.862,59,17.4,.374,142,17.9,2,RBI,"['Astros', 'Marlins']",24471b1c-663e-80a6-8341-cb5bf8b45916,MLB
,Victor CaratiniV. Caratini,36,2025,HOU,79,262,27,70,11,0,10,13,7,48,1,0,287,111,21,0,5,0,8,.267,.314,.424,.737,35,1.4,.320,105,1.7,2,RBI,"['Astros', 'Marlins']",24471b1c-663e-80a6-8341-cb5bf8b45916,MLB
,Jesús SánchezJ. Sánchez,36,2025,TOT,89,316,40,81,13,4,10,30,1,72,9,2,349,132,27,0,2,1,8,.256,.321,.418,.739,43,2.1,.321,103,1.3,2,RBI,"['Astros', 'Marlins']",24471b1c-663e-80a6-8341-cb5bf8b45916,MLB
,Eric WagamanE. Wagaman,34,2025,MIA,99,356,35,83,21,1,5,22,1,71,3,1,383,121,27,0,4,0,10,.233,.277,.340,.617,32,-13.2,.271,68,-14.2,2,RBI,"['Astros', 'Marlins']",24471b1c-663e-80a6-8341-cb5bf8b45916,MLB
,Liam HicksL. Hicks,33,2025,MIA,76,201,20,52,9,1,4,26,5,39,0,0,238,75,14,3,3,0,3,.259,.353,.373,.726,30,2.1,.325,106,1.6,2,RBI,"['Astros', 'Marlins']",24471b1c-663e-80a6-8341-cb5bf8b45916,MLB
