PLAYERPLAYER,TEAMTEAM,WWinsCredited to the pitcher whose team assumes a lead while such pitcher is in the game and does not relinquish such lead unless otherwise assigned by the official scorer.WWinsCredited to the pitcher whose team assumes a lead while such pitcher is in the game and does not relinquish such lead unless otherwise assigned by the official scorer.,LLossesCredited to the pitcher in the game when his team relinquishes — and never regains — the lead.LLossesCredited to the pitcher in the game when his team relinquishes — and never regains — the lead.,ERAEarned Run AverageThe average number of earned runs a pitcher allows per 9 innings.(ERx9)/IPERAEarned Run AverageThe average number of earned runs a pitcher allows per 9 innings.(ERx9)/IP,GGamesGames in which the pitcher threw at least one pitch.GGamesGames in which the pitcher threw at least one pitch.,"GSGames StartedGames started by the pitcher, as defined by who threw the first pitch for their team.GSGames StartedGames started by the pitcher, as defined by who threw the first pitch for their team.",CGComplete GamesWhen a pitcher starts and finishes the entire game without relief.CGComplete GamesWhen a pitcher starts and finishes the entire game without relief.,SHOShutoutsWhen a pitcher throws a complete game and allows no runs.SHOShutoutsWhen a pitcher throws a complete game and allows no runs.,"SVSavesAwarded to the relief pitcher who finishes a game for the winning team, under certain circumstances.SVSavesAwarded to the relief pitcher who finishes a game for the winning team, under certain circumstances.",SVOSave OpportunitiesAppearances in which a pitcher enters the game with a chance to earn a save.SVOSave OpportunitiesAppearances in which a pitcher enters the game with a chance to earn a save.,"IPInnings PitchedNumber of putouts recorded while the pitcher was on the mound, divided by three, with .1 representing 1/3 of an inning and .2 representing 2/3.IPInnings PitchedNumber of putouts recorded while the pitcher was on the mound, divided by three, with .1 representing 1/3 of an inning and .2 representing 2/3.",HHitsHits allowed by a pitcher.HHitsHits allowed by a pitcher.,RRunsRuns allowed by a pitcher.RRunsRuns allowed by a pitcher.,EREarned RunsEarned runs allowed by a pitcher.EREarned RunsEarned runs allowed by a pitcher.,HRHome RunsHome runs allowed by a pitcher.HRHome RunsHome runs allowed by a pitcher.,HBHit BatsmenWhen a batter is struck by a pitched ball which he is not attempting to hit.HBHit BatsmenWhen a batter is struck by a pitched ball which he is not attempting to hit.,BBWalksWalks allowed by a pitcher.BBWalksWalks allowed by a pitcher.,caret-upcaret-downSOStrikeoutsWhen a pitcher throws any combination of three swinging or looking strikes to a hitter.caret-upcaret-downSOStrikeoutsWhen a pitcher throws any combination of three swinging or looking strikes to a hitter.,WHIPWalks and Hits Per Inning PitchedThe ratio of walks plus hits to innings pitched.(W+H)/IPWHIPWalks and Hits Per Inning PitchedThe ratio of walks plus hits to innings pitched.(W+H)/IP,AVGBatting Average AgainstThe rate of hits per at bat against a pitcher.H/ABAVGBatting Average AgainstThe rate of hits per at bat against a pitcher.H/AB
35HunterH GreeneGreeneP35‌‌‌,CIN,9,5,2.75,26,26,0,0,0,0,150.1,96,47,46,12,19,57,169,1.02,.183
35FramberF ValdezValdezP35‌‌‌,HOU,15,7,2.91,28,28,1,0,0,0,176.1,140,60,57,13,6,55,169,1.11,.221
37ChrisC BassittBassittP37‌‌‌,TOR,10,14,4.16,31,31,0,0,0,0,171.0,180,91,79,18,16,70,168,1.46,.270
37TylerT GlasnowGlasnowP37‌‌‌,LAD,9,6,3.49,22,22,0,0,0,0,134.0,92,53,52,15,0,35,168,0.95,.190
39CharlieC MortonMortonP39‌‌‌,ATL,8,10,4.19,30,30,0,0,0,0,165.1,154,85,77,23,18,65,167,1.32,.251
40RonelR BlancoBlancoP40‌‌‌,HOU,13,6,2.80,30,29,1,1,0,0,167.1,114,56,52,22,2,68,166,1.09,.190
40NathanN EovaldiEovaldiP40‌‌‌,TEX,12,8,3.80,29,29,0,0,0,0,170.2,147,74,72,23,7,42,166,1.11,.229
40MaxM FriedFriedP40‌‌‌,ATL,11,10,3.25,29,29,2,1,0,0,174.1,146,71,63,13,7,57,166,1.16,.226
40MitchM KellerKellerP40‌‌‌,PIT,11,12,4.25,31,31,1,0,0,0,178.0,182,90,84,23,15,50,166,1.30,.261
44NestorN CortesCortesP44‌‌‌,NYY,9,10,3.77,31,30,0,0,0,0,174.1,162,74,73,24,4,39,162,1.15,.245
44KevinK GausmanGausmanP44‌‌‌,TOR,14,11,3.83,31,31,2,1,0,0,181.0,165,86,77,20,2,56,162,1.22,.238
46LuisL SeverinoSeverinoP46‌‌‌,NYM,11,7,3.91,31,31,1,1,0,0,182.0,166,86,79,23,11,60,161,1.24,.243
47AndrewA HeaneyHeaneyP47‌‌‌,TEX,5,14,4.28,32,31,0,0,0,0,160.0,159,84,76,23,12,41,159,1.25,.251
48ZacZ GallenGallenP48‌‌‌,AZ,14,6,3.65,28,28,0,0,0,0,148.0,133,62,60,13,4,54,156,1.26,.237
48JakeJ IrvinIrvinP48‌‌‌,WSH,10,14,4.41,33,33,0,0,0,0,187.2,173,97,92,29,4,52,156,1.20,.244
50TajT BradleyBradleyP50‌‌‌,TB,8,11,4.11,25,25,0,0,0,0,138.0,122,68,63,22,3,47,154,1.22,.235
50ErickE FeddeFeddeP50‌‌‌,STL,9,9,3.30,31,31,0,0,0,0,177.1,154,66,65,20,5,52,154,1.16,.233
50TannerT HouckHouckP50‌‌‌,BOS,9,10,3.12,30,30,1,1,0,0,178.2,156,75,62,11,16,48,154,1.14,.231
53BrayanB BelloBelloP53‌‌‌,BOS,14,8,4.49,30,30,0,0,0,0,162.1,157,84,81,19,11,64,153,1.36,.252
53JoséJ BerríosBerríosP53‌‌‌,TOR,16,11,3.60,32,32,1,0,0,0,192.1,168,79,77,31,13,54,153,1.15,.235
53CristopherC SánchezSánchezP53‌‌‌,PHI,11,9,3.32,31,31,2,1,0,0,181.2,182,76,67,11,0,44,153,1.24,.258
56KyleK GibsonGibsonP56‌‌‌,STL,8,8,4.24,30,30,0,0,0,0,169.2,161,91,80,23,4,68,151,1.35,.251
57AaronA CivaleCivaleP57‌‌‌,MIL,8,9,4.36,31,31,0,0,0,0,161.0,158,82,78,29,6,52,149,1.30,.252
58ReynaldoR LópezLópezP58‌‌‌,ATL,8,5,1.99,26,25,0,0,0,0,135.2,108,32,30,10,2,42,148,1.11,.220
58FrankieF MontasMontasP58‌‌‌,MIL,7,11,4.84,30,30,0,0,0,0,150.2,140,89,81,24,6,66,148,1.37,.243
60JoeJ RyanRyanP60‌‌‌,MIN,7,7,3.60,23,23,0,0,0,0,135.0,110,59,54,19,5,23,147,0.99,.217
61BlakeB SnellSnellP61‌‌‌,SF,5,3,3.12,20,20,1,1,0,0,104.0,65,38,36,6,1,44,145,1.05,.174
61RangerR SuárezSuárezP61‌‌‌,PHI,12,8,3.46,27,27,1,1,0,0,150.2,140,63,58,14,5,41,145,1.20,.243
61MichaelM WachaWachaP61‌‌‌,KC,13,8,3.35,29,29,0,0,0,0,166.2,154,65,62,17,5,45,145,1.19,.246
64TylerT AndersonAndersonP64‌‌‌,LAA,10,15,3.81,31,31,0,0,0,0,179.1,158,83,76,24,7,73,142,1.29,.232
64RyanR PepiotPepiotP64‌‌‌,TB,8,8,3.60,26,26,0,0,0,0,130.0,102,58,52,17,7,48,142,1.15,.212
66ZackZ LittellLittellP66‌‌‌,TB,8,10,3.63,29,29,0,0,0,0,156.1,164,68,63,22,5,31,141,1.25,.265
67PatrickP CorbinCorbinP67‌‌‌,WSH,6,13,5.62,32,32,0,0,0,0,174.2,208,114,109,25,3,54,139,1.50,.298
68RyanR FeltnerFeltnerP68‌‌‌,COL,3,10,4.49,30,30,0,0,0,0,162.1,165,94,81,20,7,52,138,1.34,.263
69JPJ SearsSearsP69‌‌‌,OAK,11,13,4.38,32,32,0,0,0,0,180.2,172,93,88,28,14,49,137,1.22,.251
70JoseJ QuintanaQuintanaP70‌‌‌,NYM,10,10,3.75,31,31,0,0,0,0,170.1,150,73,71,22,11,63,135,1.25,.237
70ColinC ReaReaP70‌‌‌,MIL,12,6,4.29,32,27,0,0,1,1,167.2,169,83,80,29,10,43,135,1.26,.258
70JustinJ SteeleSteeleP70‌‌‌,CHC,5,5,3.07,24,24,1,0,0,0,134.2,111,54,46,12,4,37,135,1.10,.219
73ZachZ EflinEflinP73‌‌‌,BAL,10,9,3.59,28,28,0,0,0,0,165.1,166,71,66,22,3,24,134,1.15,.254
74MitchellM ParkerParkerP74‌‌‌,WSH,7,10,4.29,29,29,0,0,0,0,151.0,154,82,72,18,2,43,133,1.30,.259
74MattM WaldronWaldronP74‌‌‌,SD,7,11,4.91,27,26,0,0,0,0,146.2,145,84,80,21,11,40,133,1.26,.255
76JaredJ JonesJonesP76‌‌‌,PIT,6,8,4.14,22,22,0,0,0,0,121.2,106,60,56,18,5,39,132,1.19,.232
77GriffinG CanningCanningP77‌‌‌,LAA,6,13,5.19,32,31,0,0,0,0,171.2,174,105,99,31,6,66,130,1.40,.265
77GraysonG RodriguezRodriguezP77‌‌‌,BAL,13,4,3.86,20,20,0,0,0,0,116.2,109,52,50,15,5,36,130,1.24,.243
79TobiasT MyersMyersP79‌‌‌,MIL,9,6,3.00,27,25,0,0,0,0,138.0,126,52,46,18,5,36,127,1.17,.242
79SpencerS SchwellenbachSchwellenbachP79‌‌‌,ATL,8,7,3.35,21,21,0,0,0,0,123.2,106,49,46,14,6,23,127,1.04,.226
81RyneR NelsonNelsonP81‌‌‌,AZ,10,6,4.24,28,25,0,0,1,1,150.2,155,73,71,17,5,34,126,1.25,.266
81MitchM SpenceSpenceP81‌‌‌,OAK,8,10,4.58,35,24,0,0,0,0,151.1,165,79,77,20,6,44,126,1.38,.276
83JamesonJ TaillonTaillonP83‌‌‌,CHC,12,8,3.27,28,28,0,0,0,0,165.1,154,67,60,21,1,33,125,1.13,.243
84JavierJ AssadAssadP84‌‌‌,CHC,7,6,3.73,29,29,0,0,0,0,147.0,143,64,61,20,5,63,124,1.40,.254
85ChrisC FlexenFlexenP85‌‌‌,CWS,3,15,4.95,33,30,0,0,0,0,160.0,180,95,88,24,2,63,123,1.52,.283
85DeanD KremerKremerP85‌‌‌,BAL,8,10,4.10,24,24,0,0,0,0,129.2,110,72,59,18,3,51,123,1.24,.223
85AlecA MarshMarshP85‌‌‌,KC,9,9,4.53,26,25,0,0,0,0,129.0,123,70,65,19,11,39,123,1.26,.249
88NickN LodoloLodoloP88‌‌‌,CIN,9,6,4.76,21,21,0,0,0,0,115.1,101,62,61,13,18,37,122,1.20,.231
88MilesM MikolasMikolasP88‌‌‌,STL,10,11,5.35,32,32,0,0,0,0,171.2,194,106,102,26,5,25,122,1.28,.284
90KyleK HarrisonHarrisonP90‌‌‌,SF,7,7,4.56,24,24,0,0,0,0,124.1,125,65,63,18,7,42,118,1.34,.263
90BenB LivelyLivelyP90‌‌‌,CLE,13,10,3.81,29,29,0,0,0,0,151.0,139,67,64,23,5,49,118,1.25,.241
92SimeonS Woods RichardsonWoods RichardsonP92‌‌‌,MIN,5,5,4.17,28,28,0,0,0,0,133.2,125,63,62,16,3,48,117,1.29,.246
93AustinA GomberGomberP93‌‌‌,COL,5,12,4.75,30,30,0,0,0,0,165.0,178,89,87,30,1,38,116,1.31,.273
93NickN MartinezMartinezP93‌‌‌,CIN,10,7,3.10,42,16,1,0,0,0,142.1,128,56,49,13,5,18,116,1.03,.237
93GavinG StoneStoneP93‌‌‌,LAD,11,5,3.53,25,25,1,1,0,0,140.1,133,55,55,18,2,37,116,1.21,.248
96AndrewA AbbottAbbottP96‌‌‌,CIN,10,10,3.72,25,25,0,0,0,0,138.0,127,60,57,25,2,52,114,1.30,.240
97MarcusM StromanStromanP97‌‌‌,NYY,10,9,4.31,30,29,0,0,1,1,154.2,167,81,74,19,8,60,113,1.47,.277
98CalC QuantrillQuantrillP98‌‌‌,COL,8,11,4.98,29,29,0,0,0,0,148.1,156,83,82,23,11,69,110,1.52,.273
99FernandoF CruzCruzP99‌‌‌,CIN,3,8,4.86,69,3,0,0,0,3,66.2,54,36,36,9,1,35,109,1.34,.216
99ReidR DetmersDetmersP99‌‌‌,LAA,4,9,6.70,17,17,0,0,0,0,87.1,98,67,65,18,2,38,109,1.56,.282
99LanceL LynnLynnP99‌‌‌,STL,7,4,3.84,23,23,0,0,0,0,117.1,113,64,50,16,4,44,109,1.34,.247
102AlbertA SuárezSuárezP102‌‌‌,BAL,9,7,3.70,32,24,0,0,0,1,133.2,130,56,55,17,3,43,108,1.29,.255
103EdwardE CabreraCabreraP103‌‌‌,MIA,4,8,4.95,20,20,0,0,0,0,96.1,82,60,53,15,5,50,107,1.37,.227
103LuisL.L. OrtizOrtizP103‌‌‌,PIT,7,6,3.32,37,15,0,0,1,3,135.2,109,56,50,16,9,42,107,1.11,.218
103MartínM PérezPérezP103‌‌‌,SD,5,6,4.53,26,26,0,0,0,0,135.0,151,71,68,22,5,49,107,1.48,.283
106DJD HerzHerzP106‌‌‌,WSH,4,9,4.16,19,19,0,0,0,0,88.2,76,45,41,11,3,36,106,1.26,.224
107JoshJ HaderHaderP107‌‌‌,HOU,8,8,3.80,71,0,0,0,34,38,71.0,43,33,30,12,1,25,105,0.96,.171
107YoshinobuY YamamotoYamamotoP107‌‌‌,LAD,7,2,3.00,18,18,0,0,0,0,90.0,78,32,30,7,1,22,105,1.11,.229
109MasonM MillerMillerP109‌‌‌,OAK,2,2,2.49,55,0,0,0,28,31,65.0,36,23,18,6,1,21,104,0.88,.160
110BryanB AbreuAbreuP110‌‌‌,HOU,3,3,3.10,78,0,0,0,1,8,78.1,59,27,27,9,6,32,103,1.16,.207
110CadeC SmithSmithP110‌‌‌,CLE,6,1,1.91,74,0,0,0,1,3,75.1,51,16,16,1,3,17,103,0.90,.190
110LukeL WeaverWeaverP110‌‌‌,NYY,7,3,2.89,62,0,0,0,4,4,84.0,52,28,27,10,4,26,103,0.93,.176
113JoeJ MusgroveMusgroveP113‌‌‌,SD,6,5,3.88,19,19,0,0,0,0,99.2,94,44,43,14,10,23,101,1.17,.251
113ReeseR OlsonOlsonP113‌‌‌,DET,4,8,3.53,22,22,0,0,0,0,112.1,100,51,44,7,4,33,101,1.18,.238
113DavidD PetersonPetersonP113‌‌‌,NYM,10,3,2.90,21,21,0,0,0,0,121.0,110,44,39,8,7,46,101,1.29,.243
113BryanB WooWooP113‌‌‌,SEA,9,3,2.89,22,22,0,0,0,0,121.1,96,41,39,14,3,13,101,0.90,.211
117GerritG ColeColeP117‌‌‌,NYY,8,5,3.41,17,17,0,0,0,0,95.0,78,38,36,11,6,29,99,1.13,.220
117DavidD RobertsonRobertsonP117‌‌‌,TEX,3,4,3.00,68,0,0,0,2,10,72.0,53,25,24,5,5,27,99,1.11,.202
117RyanR WalkerWalkerP117‌‌‌,SF,10,4,1.91,76,1,0,0,10,14,80.0,50,19,17,5,9,18,99,0.85,.179
120AroldisA ChapmanChapmanP120‌‌‌,PIT,5,5,3.79,68,0,0,0,14,19,61.2,44,31,26,5,2,39,98,1.35,.198
121KeeganK AkinAkinP121‌‌‌,BAL,3,1,3.32,66,0,0,0,1,4,78.2,55,31,29,9,2,19,97,0.94,.193
121BaileyB FalterFalterP121‌‌‌,PIT,8,9,4.43,28,28,0,0,0,0,142.1,138,72,70,17,0,45,97,1.29,.260
121MichaelM LorenzenLorenzenP121‌‌‌,KC,7,6,3.31,26,24,0,0,0,0,130.1,101,49,48,17,6,60,97,1.24,.216
121TrevorT RogersRogersP121‌‌‌,BAL,2,11,4.92,25,25,0,0,0,0,124.1,140,74,68,14,4,56,97,1.58,.285
121JoséJ SorianoSorianoP121‌‌‌,LAA,6,7,3.42,22,20,0,0,0,0,113.0,91,50,43,8,9,45,97,1.20,.224
126JordanJ HicksHicksP126‌‌‌,SF,4,7,4.10,29,20,0,0,1,1,109.2,112,54,50,12,9,47,96,1.45,.265
126KentaK MaedaMaedaP126‌‌‌,DET,3,7,6.09,29,17,0,0,0,0,112.1,124,80,76,22,5,31,96,1.38,.281
128GriffinG JaxJaxP128‌‌‌,MIN,5,5,2.03,72,0,0,0,10,16,71.0,47,19,16,4,2,15,95,0.87,.184
129JeremiahJ EstradaEstradaP129‌‌‌,SD,6,3,2.95,62,0,0,0,1,4,61.0,42,22,20,4,0,23,94,1.07,.188
129AndreA PallantePallanteP129‌‌‌,STL,8,8,3.78,29,20,0,0,0,0,121.1,110,55,51,8,2,48,94,1.30,.240
131ClarkeC SchmidtSchmidtP131‌‌‌,NYY,5,5,2.85,16,16,0,0,0,0,85.1,71,31,27,8,9,30,93,1.18,.230
132JoeyJ EstesEstesP132‌‌‌,OAK,7,9,5.01,25,24,1,1,0,0,127.2,130,73,71,23,10,27,92,1.23,.259
132BowdenB FrancisFrancisP132‌‌‌,TOR,8,5,3.30,27,13,0,0,0,0,103.2,74,41,38,17,7,22,92,0.93,.196
134JonathanJ CannonCannonP134‌‌‌,CWS,5,10,4.49,23,21,0,0,1,1,124.1,125,65,62,18,4,40,91,1.33,.263
134DaneD DunningDunningP134‌‌‌,TEX,5,7,5.31,26,15,0,0,0,0,95.0,97,60,56,18,6,40,91,1.44,.260
134JustinJ MartinezMartinezP134‌‌‌,AZ,5,6,2.48,64,0,0,0,8,10,72.2,59,26,20,2,2,36,91,1.31,.221
134TylorT MegillMegillP134‌‌‌,NYM,4,5,4.04,16,15,0,0,0,0,78.0,70,39,35,8,4,32,91,1.31,.235
138TylerT AlexanderAlexanderP138‌‌‌,TB,6,5,5.10,23,9,0,0,0,0,107.2,110,61,61,23,5,24,90,1.24,.263
139CarlosC CarrascoCarrascoP139‌‌‌,CLE,3,10,5.64,21,21,0,0,0,0,103.2,112,68,65,19,5,33,89,1.40,.276
139JeffJ HoffmanHoffmanP139‌‌‌,PHI,3,3,2.17,68,0,0,0,10,13,66.1,48,20,16,6,3,16,89,0.96,.197
139JoséJ LeclercLeclercP139‌‌‌,TEX,6,5,4.32,64,0,0,0,1,4,66.2,56,33,32,7,4,32,89,1.32,.227
142HaydenH BirdsongBirdsongP142‌‌‌,SF,5,6,4.75,16,16,0,0,0,0,72.0,57,39,38,11,4,43,88,1.39,.216
142MichaelM KopechKopechP142‌‌‌,LAD,6,8,3.46,67,0,0,0,15,20,67.2,44,27,26,9,5,34,88,1.15,.188
142A.J.A PukPukP142‌‌‌,AZ,4,9,3.15,62,4,0,0,3,6,71.1,51,31,25,5,2,28,88,1.11,.195
145KyleK HendricksHendricksP145‌‌‌,CHC,4,12,5.92,29,24,0,0,0,0,130.2,147,88,86,21,3,43,87,1.45,.286
145ErikE MillerMillerP145‌‌‌,SF,4,5,3.88,73,10,0,0,0,3,67.1,50,33,29,7,1,38,87,1.31,.205
145AlexA VesiaVesiaP145‌‌‌,LAD,5,4,1.76,67,0,0,0,5,8,66.1,33,19,13,7,1,33,87,0.99,.148
148JonJ GrayGrayP148‌‌‌,TEX,5,6,4.47,23,19,0,0,0,0,102.2,107,54,51,11,0,28,86,1.31,.262
148MarkM Leiter Jr.LeiterP148‌‌‌,NYY,4,5,4.50,60,0,0,0,0,3,58.0,55,34,29,8,3,22,86,1.33,.238
150KyleK FreelandFreelandP150‌‌‌,COL,5,8,5.24,21,21,0,0,0,0,113.1,134,73,66,22,1,26,85,1.41,.291
150YarielY RodríguezRodriguezP150‌‌‌,TOR,1,8,4.47,21,21,0,0,0,0,86.2,74,46,43,11,3,40,85,1.32,.229
150ColeC SandsSandsP150‌‌‌,MIN,9,1,3.28,62,0,0,0,4,7,71.1,59,30,26,6,6,12,85,1.00,.221
150MichaelM TonkinTonkinP150‌‌‌,MIN,4,4,3.63,57,0,0,0,2,4,79.1,70,43,32,6,8,30,85,1.26,.236
150KirbyK YatesYatesP150‌‌‌,TEX,7,2,1.17,61,0,0,0,33,34,61.2,23,10,8,3,2,28,85,0.83,.113
155EdwinE DíazDíazP155‌‌‌,NYM,6,4,3.52,54,0,0,0,20,27,53.2,36,23,21,7,3,20,84,1.04,.188
155TannerTan ScottScottP155‌‌‌,SD,9,6,1.75,72,0,0,0,22,24,72.0,45,20,14,3,1,36,84,1.13,.179
155MichaelM SorokaSorokaP155‌‌‌,CWS,0,10,4.74,25,9,0,0,0,1,79.2,66,49,42,13,3,44,84,1.38,.224
158ReedR GarrettGarrettP158‌‌‌,NYM,8,5,3.77,53,0,0,0,4,9,57.1,50,28,24,6,2,30,83,1.40,.236
158JordanJ MontgomeryMontgomeryP158‌‌‌,AZ,8,7,6.23,25,21,0,0,1,1,117.0,149,83,81,14,2,44,83,1.65,.312
160PedroP AvilaAvilaP160‌‌‌,CLE,6,1,3.81,54,0,0,0,1,1,82.2,73,38,35,8,4,36,82,1.32,.239
