PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PTS,EFF,teamName,playerName,position,updated,injury,injuryStatus
1630559,42,Austin Reaves,1610612747,LAL,57,34.4,6.0,13.7,0.44,2.5,7.0,0.363,4.4,5.0,0.87,0.9,3.5,4.4,5.8,1.1,0.3,2.4,18.9,19.8,,,,,,
203944,43,Julius Randle,1610612750,MIN,54,32.5,6.6,13.9,0.474,1.5,4.6,0.323,4.2,5.2,0.817,2.2,5.0,7.2,4.7,0.7,0.2,2.9,18.9,20.6,,,,,,
1629661,44,Cameron Johnson,1610612751,BKN,50,31.8,6.3,13.1,0.478,2.9,7.3,0.402,3.4,3.9,0.881,0.9,3.3,4.2,3.0,1.0,0.5,1.6,18.8,18.6,,,,,,
202696,45,Nikola Vučević,1610612741,CHI,58,31.8,7.7,14.4,0.534,1.7,4.5,0.386,1.7,2.1,0.811,2.3,7.9,10.2,3.3,0.8,0.6,1.7,18.8,24.9,,,,,,
1630217,46,Desmond Bane,1610612763,MEM,54,31.6,6.9,14.3,0.486,2.2,5.7,0.377,2.6,3.0,0.882,0.9,5.3,6.2,5.5,1.2,0.5,2.5,18.7,21.9,,,,,,
1630596,47,Evan Mobley,1610612739,CLE,58,30.2,7.1,12.6,0.568,1.1,2.9,0.365,3.2,4.3,0.744,2.3,7.0,9.3,3.1,0.8,1.6,2.0,18.6,24.8,,,,,,
1630169,48,Tyrese Haliburton,1610612754,IND,60,34.0,6.5,13.8,0.467,3.0,7.8,0.389,2.5,2.9,0.863,0.6,2.9,3.5,8.9,1.5,0.6,1.7,18.5,23.5,,,,,,
1629008,49,Michael Porter Jr.,1610612743,DEN,63,33.7,7.0,13.8,0.506,2.5,6.3,0.401,1.9,2.5,0.745,1.8,5.1,7.0,2.1,0.6,0.4,1.3,18.3,19.7,,,,,,
1629012,50,Collin Sexton,1610612762,UTA,51,28.2,6.5,13.6,0.473,1.8,4.5,0.402,3.5,4.0,0.881,1.1,1.8,2.9,4.3,0.7,0.1,2.6,18.2,15.9,,,,,,
203952,52,Andrew Wiggins,1610612748,MIA,52,30.9,6.1,13.9,0.44,2.1,5.8,0.366,3.4,4.4,0.775,1.6,3.0,4.6,2.5,0.9,0.8,1.5,17.8,16.3,,,,,,
1628389,53,Bam Adebayo,1610612748,MIA,63,34.5,6.8,14.0,0.488,0.8,2.7,0.31,3.2,4.3,0.754,2.5,7.5,10.0,4.4,1.3,0.7,2.1,17.7,23.7,,,,,,
1628370,54,Malik Monk,1610612758,SAC,54,32.4,6.5,14.8,0.437,2.2,6.8,0.321,2.4,2.8,0.861,0.4,3.4,3.8,5.9,1.0,0.6,2.4,17.5,17.7,,,,,,
1631101,55,Shaedon Sharpe,1610612757,POR,59,30.5,6.5,14.6,0.449,2.0,6.2,0.318,2.4,3.1,0.8,0.9,3.2,4.1,2.6,0.7,0.2,2.0,17.5,14.6,,,,,,
1628969,56,Mikal Bridges,1610612752,NYK,65,37.8,7.2,14.6,0.495,2.1,6.0,0.35,0.9,1.2,0.763,0.9,2.3,3.2,3.5,0.9,0.6,1.5,17.5,16.5,,,,,,
1628384,59,OG Anunoby,1610612752,NYK,59,36.7,6.2,13.2,0.468,2.2,6.1,0.365,2.1,2.6,0.794,1.4,3.4,4.8,2.2,1.4,0.9,1.4,16.6,17.0,,,,,,
1627736,60,Malik Beasley,1610612765,DET,67,27.4,5.7,12.9,0.44,3.9,9.3,0.421,1.1,1.7,0.649,0.6,2.2,2.7,1.7,1.0,0.1,1.0,16.3,13.0,,,,,,
1631097,61,Bennedict Mathurin,1610612754,IND,58,30.7,5.7,12.1,0.47,1.4,4.1,0.357,3.4,4.1,0.829,1.2,4.2,5.4,1.9,0.6,0.4,1.9,16.2,15.6,,,,,,
1627826,62,Ivica Zubac,1610612746,LAC,64,32.7,7.2,11.6,0.622,0.0,0.0,0.0,1.8,2.8,0.635,3.7,8.8,12.5,2.5,0.8,1.2,1.6,16.2,26.1,,,,,,
1630170,63,Devin Vassell,1610612759,SAS,49,30.6,6.1,13.9,0.435,2.2,6.4,0.348,1.5,1.9,0.785,0.6,3.2,3.8,2.9,1.3,0.5,1.4,15.9,14.7,,,,,,
1626167,64,Myles Turner,1610612754,IND,57,30.7,5.4,11.5,0.475,2.2,5.4,0.397,2.4,3.2,0.772,1.2,5.3,6.5,1.6,0.8,1.9,1.8,15.5,17.8,,,,,,
1630166,65,Deni Avdija,1610612757,POR,61,29.0,5.0,10.8,0.466,1.5,4.3,0.347,3.7,4.9,0.768,1.3,5.4,6.7,3.6,0.9,0.5,2.6,15.3,17.6,,,,,,
1629675,68,Naz Reid,1610612750,MIN,66,28.0,5.5,11.8,0.465,2.3,5.9,0.392,1.5,1.9,0.792,1.1,5.0,6.1,2.2,0.7,1.0,1.3,14.8,16.8,,,,,,
1628398,69,Kyle Kuzma,1610612749,MIL,48,29.6,5.7,13.4,0.423,1.4,4.7,0.288,2.0,3.3,0.628,0.8,5.4,6.2,2.3,0.5,0.2,2.3,14.7,12.7,,,,,,
202691,70,Klay Thompson,1610612742,DAL,59,27.6,5.2,12.4,0.417,3.2,7.9,0.4,0.9,1.1,0.903,0.7,2.8,3.5,2.1,0.8,0.5,1.3,14.5,12.7,,,,,,
1628404,71,Josh Hart,1610612752,NYK,62,37.9,5.5,10.3,0.539,1.1,3.3,0.337,2.3,2.9,0.792,2.2,7.6,9.8,5.6,1.4,0.4,2.1,14.5,24.2,,,,,,
1627832,74,Fred VanVleet,1610612745,HOU,47,35.3,4.9,12.9,0.384,2.6,7.7,0.34,1.8,2.2,0.824,0.6,3.2,3.9,5.7,1.7,0.4,1.5,14.3,16.2,,,,,,
1630700,76,Dyson Daniels,1610612737,ATL,61,34.0,5.9,12.2,0.483,1.1,3.1,0.349,1.1,1.9,0.598,1.6,4.0,5.6,4.1,3.0,0.7,1.9,14.1,18.6,,,,,,
1630202,77,Payton Pritchard,1610612738,BOS,65,28.0,4.9,10.5,0.471,3.3,7.8,0.417,0.9,1.1,0.857,1.3,2.4,3.7,3.4,0.8,0.2,0.9,14.1,15.6,,,,,,
1629023,79,P.J. Washington,1610612742,DAL,47,32.2,5.0,11.6,0.432,1.6,4.2,0.374,2.4,3.2,0.74,1.6,6.5,8.1,2.3,1.2,1.1,1.9,14.0,17.3,,,,,,
202699,80,Tobias Harris,1610612765,DET,63,32.2,5.3,11.3,0.473,1.3,3.7,0.341,2.0,2.3,0.868,1.0,5.1,6.1,2.2,1.0,0.8,1.1,13.9,16.6,,,,,,
1628415,81,Dillon Brooks,1610612745,HOU,62,32.2,5.0,12.0,0.42,2.5,6.2,0.393,1.4,1.7,0.81,1.1,2.7,3.9,1.7,0.8,0.2,1.0,13.9,12.1,,,,,,
1626171,83,Bobby Portis,1610612749,MIL,46,25.2,5.6,12.1,0.463,1.3,3.6,0.364,1.2,1.5,0.821,1.8,6.5,8.3,2.2,0.7,0.5,1.2,13.7,17.5,,,,,,
1628386,84,Jarrett Allen,1610612739,CLE,65,28.6,5.5,7.9,0.7,0.0,0.0,0.0,2.5,3.3,0.755,2.7,7.6,10.3,1.9,1.0,1.0,1.2,13.6,23.4,,,,,,
1642264,85,Stephon Castle,1610612759,SAS,63,25.5,4.9,11.4,0.425,1.1,4.0,0.283,2.6,3.7,0.713,1.0,2.2,3.2,3.5,0.9,0.2,1.9,13.4,11.7,,,,,,
203471,86,Dennis Schröder,1610612765,DET,61,27.7,4.7,11.3,0.416,1.8,5.2,0.351,2.1,2.5,0.838,0.3,2.3,2.6,5.2,1.0,0.2,2.0,13.4,13.3,,,,,,
1630703,88,Scoot Henderson,1610612757,POR,59,26.8,4.4,10.3,0.432,1.6,4.3,0.369,2.5,3.3,0.772,0.7,2.3,3.0,5.1,1.1,0.2,2.6,13.0,13.2,,,,,,
201566,89,Russell Westbrook,1610612743,DEN,59,27.8,4.9,10.6,0.465,1.2,3.7,0.336,1.9,2.9,0.64,1.5,3.5,5.0,6.0,1.4,0.5,3.0,12.9,16.1,,,,,,
