,Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
109,Dougie Hamilton,2024-25,NJD,R,D,60,9,31,40,+10,28,0.67,4,25,5,15,0,0,0,3,175,5.1,19:58,--
110,Anton Lundell,2024-25,FLA,L,C,60,14,26,40,+15,24,0.67,10,32,2,6,2,2,0,1,117,12.0,16:43,51.4
111,Ivan Barbashev,2024-25,VGK,L,C,49,18,21,39,+18,8,0.80,16,37,2,2,0,0,1,3,82,22.0,16:57,35.0
112,Dmitri Voronkov,2024-25,CBJ,L,L,50,19,20,39,+17,41,0.78,12,29,7,10,0,0,0,1,108,17.6,17:11,42.3
113,Jakob Chychrun,2024-25,WSH,L,D,55,17,22,39,+20,36,0.71,12,25,5,14,0,0,1,5,130,13.1,21:05,--
114,Sam Bennett,2024-25,FLA,L,C,59,19,20,39,-9,69,0.66,15,32,4,7,0,0,0,2,193,9.8,17:11,47.2
115,John Carlson,2024-25,WSH,R,D,60,4,35,39,+18,18,0.65,3,27,1,12,0,0,0,0,125,3.2,23:47,--
116,Roman Josi,2024-25,NSH,L,D,53,9,29,38,-26,18,0.72,7,21,2,17,0,0,0,1,150,6.0,25:02,--
117,Mikhail Sergachev,2024-25,UTA,L,D,55,10,28,38,-11,20,0.69,7,22,3,16,0,0,2,3,94,10.6,25:35,--
118,Matthew Knies,2024-25,TOR,L,L,55,22,16,38,+3,26,0.69,19,29,3,8,0,1,0,3,93,23.7,18:20,0.0
119,Kevin Fiala,2024-25,LAK,L,L,56,23,15,38,-7,34,0.68,16,24,7,14,0,0,0,4,166,13.9,18:43,41.4
120,Tyler Toffoli,2024-25,SJS,R,C,57,21,17,38,-18,10,0.67,17,26,4,12,0,0,0,1,162,13.0,16:38,52.9
121,Jamie Benn,2024-25,DAL,L,L,59,15,23,38,+3,60,0.64,14,31,1,7,0,0,1,4,106,14.2,15:39,55.8
122,Vincent Trocheck,2024-25,NYR,R,C,59,17,21,38,-5,38,0.64,12,27,4,10,1,1,0,3,152,11.2,21:16,59.9
123,Timo Meier,2024-25,NJD,L,R,59,15,23,38,+11,52,0.64,12,30,3,8,0,0,0,2,169,8.9,17:24,36.8
124,Mats Zuccarello,2024-25,MIN,L,R,47,13,24,37,+3,16,0.79,11,27,2,10,0,0,0,3,100,13.0,19:31,48.0
125,Claude Giroux,2024-25,OTT,R,R,58,11,26,37,-3,16,0.64,9,25,2,11,0,1,0,2,108,10.2,18:47,61.6
126,Ryan Nugent-Hopkins,2024-25,EDM,L,C,58,16,21,37,+3,20,0.64,10,21,6,16,0,0,1,4,112,14.3,18:57,49.6
127,Conor Garland,2024-25,VAN,R,R,59,16,21,37,-5,31,0.63,10,25,6,12,0,0,2,3,128,12.5,18:51,33.3
128,Pavel Dorofeyev,2024-25,VGK,L,L,59,24,13,37,-10,20,0.63,14,24,10,13,0,0,0,4,176,13.6,16:26,18.8
129,Jaden Schwartz,2024-25,SEA,L,C,60,19,18,37,-5,20,0.62,16,31,3,6,0,0,0,5,142,13.4,18:11,43.2
130,Neal Pionk,2024-25,WPG,R,D,60,9,28,37,+19,44,0.62,5,25,4,11,0,1,1,2,107,8.4,22:13,--
131,Cole Perfetti,2024-25,WPG,L,C,60,12,25,37,+17,12,0.62,7,24,5,13,0,0,0,2,102,11.8,15:05,27.3
132,Brock Boeser,2024-25,VAN,R,R,52,18,18,36,-18,16,0.69,11,22,7,14,0,0,0,2,104,17.3,17:49,25.8
133,Ryan O'Reilly,2024-25,NSH,L,C,56,14,22,36,-19,11,0.64,8,24,6,12,0,0,0,3,109,12.8,18:54,56.5
134,Jake Sanderson,2024-25,OTT,L,D,57,6,30,36,-18,10,0.63,2,11,4,21,0,4,1,1,132,4.6,24:22,--
135,Adam Fantilli,2024-25,CBJ,L,C,59,17,19,36,-1,14,0.61,14,31,2,4,1,1,0,1,132,12.9,17:41,41.6
136,Brayden Schenn,2024-25,STL,L,C,60,12,24,36,-3,48,0.60,10,31,2,5,0,0,2,4,106,11.3,17:32,50.7
137,Patrick Kane,2024-25,DET,L,R,49,14,21,35,-12,8,0.71,6,16,8,19,0,0,2,6,109,12.8,17:34,37.5
138,Artturi Lehkonen,2024-25,COL,L,L,49,24,11,35,+24,24,0.71,22,31,1,3,1,1,0,4,108,22.2,21:09,38.5
139,Elias Pettersson,2024-25,VAN,L,C,53,11,24,35,-7,12,0.66,6,23,5,12,0,0,0,1,94,11.7,18:50,46.1
140,Owen Tippett,2024-25,PHI,R,R,55,18,17,35,-7,14,0.64,18,29,0,6,0,0,1,2,142,12.7,16:32,35.7
141,Oliver Bjorkstrand,2024-25,SEA,R,R,59,15,20,35,-1,14,0.59,11,28,4,7,0,0,0,1,120,12.5,15:28,33.3
142,Jake DeBrusk,2024-25,VAN,L,L,59,21,14,35,-8,14,0.59,12,22,9,13,0,0,1,3,115,18.3,16:36,27.8
143,Moritz Seider,2024-25,DET,R,D,59,5,30,35,-3,28,0.59,4,18,1,17,0,0,0,0,117,4.3,25:16,--
144,Pavel Zacha,2024-25,BOS,L,C,60,12,23,35,+2,19,0.58,8,27,2,5,2,3,2,4,105,11.4,19:18,52.7
145,Zach Hyman,2024-25,EDM,R,L,54,20,14,34,+9,24,0.63,14,23,6,11,0,0,1,6,152,13.2,19:14,25.0
146,Quinton Byfield,2024-25,LAK,L,R,57,11,23,34,+8,30,0.60,10,31,1,3,0,0,1,2,110,10.0,18:35,43.9
147,Shane Wright,2024-25,SEA,R,C,57,13,21,34,+5,16,0.60,7,23,6,11,0,0,0,2,59,22.0,13:35,45.6
148,Ryan Strome,2024-25,ANA,R,C,58,9,25,34,-1,40,0.59,9,29,0,5,0,0,0,3,104,8.7,17:02,42.0
149,Fabian Zetterlund,2024-25,SJS,R,L,60,16,18,34,+10,10,0.57,13,29,3,5,0,0,0,0,131,12.2,17:00,60.0
150,Barrett Hayton,2024-25,UTA,L,C,60,16,18,34,+4,25,0.57,12,27,4,7,0,0,0,5,113,14.2,15:52,54.4
151,Nick Paul,2024-25,TBL,L,L,53,18,15,33,+8,30,0.62,16,27,2,5,0,1,1,3,95,19.0,16:29,51.0
152,Juraj Slafkovsky,2024-25,MTL,L,L,56,10,23,33,-7,25,0.59,8,26,2,7,0,0,0,1,81,12.4,16:54,33.3
153,Frank Vatrano,2024-25,ANA,L,R,57,18,15,33,-2,38,0.58,14,27,3,5,1,1,0,1,182,9.9,17:56,41.7
154,Kaapo Kakko,2024-25,"NYR, SEA",L,R,57,10,23,33,+4,30,0.58,7,28,3,5,0,0,0,1,89,11.2,15:23,47.8
155,Thomas Harley,2024-25,DAL,L,D,57,10,23,33,+29,12,0.58,9,26,1,7,0,0,1,1,121,8.3,22:35,--
156,Evgenii Dadonov,2024-25,DAL,L,R,59,16,17,33,+11,6,0.56,12,27,4,6,0,0,0,2,99,16.2,14:01,--
157,Steven Stamkos,2024-25,NSH,R,C,59,17,16,33,-23,34,0.56,8,19,9,14,0,0,0,5,125,13.6,17:58,51.2
158,Colton Parayko,2024-25,STL,R,D,59,14,19,33,+8,8,0.56,12,30,1,1,1,2,1,4,114,12.3,23:58,--
159,Casey Mittelstadt,2024-25,COL,L,C,61,10,23,33,-12,20,0.54,9,23,1,10,0,0,0,2,79,12.7,17:08,41.7
160,Shayne Gostisbehere,2024-25,CAR,L,D,51,7,25,32,-6,22,0.63,3,13,4,19,0,0,0,0,91,7.7,18:21,--
161,Simon Holmstrom,2024-25,NYI,L,R,52,14,18,32,+9,6,0.62,12,26,1,3,1,3,0,2,65,21.5,16:25,33.3
162,Warren Foegele,2024-25,LAK,L,L,57,17,15,32,+23,12,0.56,17,32,0,0,0,0,0,5,137,12.4,16:04,47.4
163,Stefan Noesen,2024-25,NJD,R,R,58,19,13,32,-4,46,0.55,9,18,10,14,0,0,1,5,125,15.2,15:52,50.0
164,MacKenzie Weegar,2024-25,CGY,R,D,59,6,26,32,+11,27,0.54,3,16,3,15,0,1,0,0,136,4.4,23:46,0.0
165,Alexis Lafrenière,2024-25,NYR,L,L,59,14,18,32,-18,24,0.54,12,28,2,4,0,0,0,3,128,10.9,17:35,40.0
166,Matty Beniers,2024-25,SEA,L,C,60,13,19,32,+3,12,0.53,10,26,3,6,0,0,1,1,106,12.3,18:34,46.9
167,Josh Norris,2024-25,OTT,L,C,50,19,12,31,-6,34,0.62,10,16,6,11,3,4,1,5,92,20.7,18:24,54.0
168,Mason McTavish,2024-25,ANA,L,C,52,14,17,31,-3,28,0.60,10,23,4,8,0,0,0,0,111,12.6,16:33,49.2
169,Alex Laferriere,2024-25,LAK,R,R,53,15,16,31,+13,14,0.58,13,27,2,4,0,0,0,4,125,12.0,16:52,36.2
170,Ryan McLeod,2024-25,BUF,L,C,54,14,17,31,+12,12,0.57,13,30,0,0,1,1,0,1,58,24.1,16:01,52.3
171,Matt Coronato,2024-25,CGY,R,R,54,15,16,31,+5,21,0.57,12,19,3,12,0,0,1,2,125,12.0,17:09,44.4
172,Morgan Geekie,2024-25,BOS,R,C,55,19,12,31,+5,20,0.56,16,25,3,6,0,0,0,4,112,17.0,16:15,46.5
173,Phillip Danault,2024-25,LAK,L,C,56,5,26,31,+12,12,0.55,5,30,0,0,0,1,0,1,89,5.6,17:51,53.3
174,Owen Power,2024-25,BUF,L,D,57,6,25,31,-5,12,0.54,5,29,1,2,0,0,0,0,110,5.5,22:11,--
175,Morgan Rielly,2024-25,TOR,L,D,59,7,24,31,-13,19,0.53,6,18,1,12,0,1,1,2,97,7.2,21:33,--
176,Tyler Bertuzzi,2024-25,CHI,L,L,59,17,14,31,-31,43,0.53,9,19,8,12,0,0,0,0,99,17.2,16:15,47.4
177,Will Cuylle,2024-25,NYR,L,L,59,16,15,31,+8,30,0.53,12,26,2,3,2,2,0,2,109,14.7,14:50,32.1
178,Elias Lindholm,2024-25,BOS,R,C,60,11,20,31,-5,14,0.52,8,16,2,12,1,3,0,2,107,10.3,18:19,54.4
179,Jake Walman,2024-25,SJS,L,D,47,6,24,30,-3,34,0.64,6,23,0,7,0,0,0,1,118,5.1,23:06,--
