teamName,playerName,position,updated,injury,injuryStatus
L.A. Lakers,Bronny James,PG,"Sat, Jul 19",Undisclosed,Probable for start of season
Memphis,Cedric Coward,SG,"Thu, Jul 24",Shoulder,Probable for start of season
Memphis,Zach Edey,C,"Thu, Jul 24",Ankle,Expected to be out until at least Nov 1
Memphis,Jaren Jackson Jr.,PF,"Tue, Jul 1",Toe,Probable for start of season
Memphis,Brandon Clarke,C,"Tue, Jun 24",Knee,Probable for start of season
Memphis,Ja Morant,PG,"Tue, Jun 24",Hip,Probable for start of season
Miami,Dru Smith,SG,"Tue, Jun 24",Achilles,Probable for start of season
Miami,Terry Rozier,SG,"Tue, Jun 24",Ankle,Probable for start of season
Milwaukee,Mark Sears,PG,"Thu, Jul 24",Calf,Probable for start of season
Milwaukee,Jamaree Bouyea,PG,"Sat, Jul 19",Rest,Probable for start of season
New Orleans,Dejounte Murray,PG,"Thu, Jul 24",Achilles,Expected to be out until at least Jan 1
New Orleans,Derik Queen,C,"Thu, Jul 24",Wrist,Probable for start of season
New Orleans,Micah Peavy,SG,"Thu, Jul 24",Rest,Probable for start of season
New Orleans,Yves Missi,C,"Sat, Jul 19",Rest,Probable for start of season
New Orleans,Jordan Hawkins,SG,"Tue, Jun 24",Back,Probable for start of season
New Orleans,Karlo Matkovic,PF,"Tue, Jun 24",Hamstring,Probable for start of season
New Orleans,Herbert Jones,SG,"Tue, Jun 24",Shoulder,Probable for start of season
New Orleans,Zion Williamson,PF,"Tue, Jun 24",Back,Probable for start of season
New Orleans,Trey Murphy III,SF,"Tue, Jun 24",Shoulder,Probable for start of season
New Orleans,Saddiq Bey,SF,"Tue, Jun 24",Knee,Probable for start of season
New York,Kevin McCullar Jr.,SG,"Mon, Jul 21",Nose,Probable for start of season
New York,Ariel Hukporti,C,"Mon, Jul 21",Knee,Probable for start of season
New York,Pacome Dadiet,SF,"Mon, Jul 21",Toe,Probable for start of season
New York,Josh Hart,SF,"Wed, Jul 16",Finger,Probable for start of season
Oklahoma City,Thomas Sorber,C,"Thu, Jul 24",Foot,Probable for start of season
Oklahoma City,Jalen Williams,SF,"Thu, Jul 3",Wrist,Probable for start of season
Orlando,Jase Richardson,SG,"Thu, Jul 24",Rest,Probable for start of season
Orlando,Moe Wagner,C,"Wed, Jul 23",Knee,Probable for start of season
