PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PTS,EFF
1642271,197,Kyle Filipowski,1610612762,UTA,46,18.2,2.5,5.0,0.513,0.7,2.0,0.337,1.0,1.5,0.62,1.2,3.6,4.8,1.8,0.5,0.1,1.1,6.7,9.8
1630558,198,Davion Mitchell,1610612748,MIA,49,25.4,2.5,5.7,0.441,1.0,2.8,0.363,0.6,0.8,0.683,0.4,1.6,1.9,4.5,0.7,0.2,1.7,6.6,8.8
1641824,199,Matas Buzelis,1610612741,CHI,55,15.2,2.4,5.4,0.438,0.9,2.7,0.356,0.8,1.0,0.804,0.6,2.3,2.9,0.6,0.3,0.9,0.7,6.5,7.2
1629312,200,Haywood Highsmith,1610612748,MIA,49,23.7,2.4,5.1,0.466,1.2,3.0,0.388,0.4,0.6,0.679,0.8,2.3,3.1,1.2,0.9,0.6,0.7,6.3,8.5
1642346,201,Ryan Dunn,1610612756,PHX,51,18.0,2.5,5.8,0.438,0.9,3.1,0.306,0.2,0.5,0.478,0.9,2.3,3.2,0.8,0.4,0.5,0.4,6.3,7.4
1641741,202,Ricky Council IV,1610612755,PHI,48,14.1,2.1,5.1,0.412,0.7,2.3,0.306,1.3,1.6,0.808,0.6,1.6,2.2,1.1,0.4,0.1,0.5,6.2,6.2
1626168,203,Trey Lyles,1610612758,SAC,46,18.5,2.1,5.3,0.393,1.2,3.6,0.333,0.8,1.0,0.745,1.0,3.3,4.4,0.9,0.6,0.4,0.6,6.1,8.4
203552,204,Seth Curry,1610612766,CHA,47,14.4,2.3,4.8,0.471,1.1,2.6,0.446,0.4,0.5,0.87,0.4,1.1,1.6,0.7,0.5,0.1,0.4,6.1,5.9
1631323,205,Simone Fontecchio,1610612765,DET,52,17.4,2.0,5.3,0.381,1.0,3.2,0.321,1.1,1.3,0.838,0.7,2.3,3.1,0.9,0.4,0.2,0.8,6.1,6.3
1641842,206,Ronald Holland II,1610612765,DET,57,15.6,2.3,5.2,0.44,0.5,2.1,0.242,1.0,1.2,0.803,0.5,2.2,2.7,0.8,0.6,0.1,0.9,6.1,6.3
1642347,207,Jamal Shead,1610612761,TOR,51,17.3,2.3,5.5,0.428,0.8,2.3,0.361,0.5,0.7,0.743,0.2,0.9,1.2,3.5,0.5,0.1,1.5,6.0,6.6
1629611,208,Terance Mann,1610612737,ATL,42,19.6,2.3,5.1,0.453,0.7,1.9,0.37,0.6,0.9,0.641,0.9,1.9,2.8,1.6,0.7,0.3,0.6,5.9,7.6
1641767,209,Ben Sheppard,1610612754,IND,41,20.2,2.1,5.0,0.426,1.2,3.4,0.364,0.4,0.5,0.9,0.6,1.9,2.5,1.2,0.7,0.3,0.3,5.9,7.3
1629026,210,Kenrich Williams,1610612760,OKC,45,14.4,2.3,4.6,0.5,0.9,2.4,0.396,0.4,0.4,0.889,0.9,2.3,3.2,1.1,0.6,0.1,0.5,5.9,8.2
1631204,211,Marcus Sasser,1610612765,DET,43,13.9,2.2,4.9,0.459,0.9,2.5,0.361,0.5,0.6,0.885,0.3,0.9,1.2,2.2,0.7,0.1,0.9,5.9,6.5
1630191,212,Isaiah Stewart,1610612765,DET,52,20.0,2.4,4.4,0.541,0.2,0.7,0.289,0.8,1.0,0.815,2.0,3.7,5.7,1.7,0.3,1.3,1.0,5.9,11.7
1628371,213,Jonathan Isaac,1610612753,ORL,51,16.5,2.1,5.1,0.412,0.6,2.5,0.26,1.0,1.5,0.675,1.8,3.0,4.8,0.5,0.8,1.2,0.4,5.9,9.2
1627739,214,Kris Dunn,1610612746,LAC,49,23.0,2.4,5.7,0.416,0.9,3.0,0.31,0.1,0.3,0.5,0.9,2.7,3.5,2.9,1.7,0.3,1.1,5.8,9.7
1641716,215,Jarace Walker,1610612754,IND,52,16.0,2.1,4.6,0.458,0.9,2.3,0.369,0.7,1.1,0.644,0.3,2.8,3.1,1.4,0.9,0.4,1.1,5.8,7.6
1629659,216,Talen Horton-Tucker,1610612741,CHI,41,11.4,2.1,4.6,0.45,0.8,2.0,0.373,0.9,1.2,0.725,0.3,1.4,1.7,1.3,0.4,0.2,0.6,5.8,5.9
1629003,217,Shake Milton,1610612747,LAL,44,15.4,2.1,4.5,0.455,0.7,2.0,0.356,0.9,1.1,0.8,0.5,1.4,1.9,2.0,0.4,0.1,0.7,5.8,6.7
1629750,218,Javonte Green,1610612739,CLE,50,21.8,2.0,4.5,0.446,0.8,2.2,0.352,1.0,1.3,0.758,1.0,2.6,3.6,0.9,1.1,0.6,0.6,5.8,8.6
1630526,219,Jeremiah Robinson-Earl,1610612740,NOP,45,17.6,2.1,4.8,0.444,0.7,2.2,0.33,0.7,0.8,0.865,1.7,2.9,4.6,1.2,0.6,0.1,0.7,5.7,8.7
1642270,220,Donovan Clingan,1610612757,POR,43,16.4,2.4,4.2,0.56,0.2,0.5,0.304,0.7,1.1,0.681,2.7,4.0,6.7,0.7,0.4,1.6,1.2,5.7,11.7
1629216,221,Gabe Vincent,1610612747,LAL,47,20.2,2.1,5.3,0.399,1.3,3.7,0.341,0.1,0.3,0.583,0.3,1.0,1.3,1.4,0.7,0.2,0.6,5.6,5.3
1629234,222,Drew Eubanks,1610612746,LAC,41,14.8,2.3,3.8,0.61,0.1,0.1,0.5,0.9,1.4,0.632,1.1,3.2,4.3,1.1,0.2,0.8,0.8,5.5,9.3
1642367,223,Jonathan Mogbo,1610612761,TOR,44,17.7,2.0,4.5,0.452,0.3,0.9,0.341,1.0,1.4,0.7,1.6,2.5,4.1,1.7,0.7,0.5,0.9,5.4,8.6
1630322,224,Lindy Waters III,1610612765,DET,40,16.7,1.9,5.2,0.364,1.2,3.8,0.322,0.2,0.3,0.727,0.4,2.0,2.4,1.1,0.6,0.3,0.4,5.2,5.7
