PLAYER,TEAM,Pos,G,MP,G.1,GS,MP.1,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Jessica Shepard,MIN,F,17,330,17,3,19.4,2.8,4.6,.595,0.0,0.1,.000,2.8,4.6,.603,1.6,2.8,.574,2.5,6.8,2.5,0.5,0.1,1.5,1.4,7.1
Jaylyn Sherrod,NYL,G,15,96,15,0,6.4,0.4,1.3,.300,0.2,0.7,.273,0.2,0.6,.333,0.5,0.6,.778,0.1,0.7,0.7,0.7,0.0,0.7,1.1,1.5
Odyssey Sims,LAS,G,12,354,12,11,29.5,3.3,8.0,.417,1.0,2.8,.353,2.3,5.2,.452,2.2,2.8,.765,0.5,2.9,3.5,0.8,0.1,1.4,2.3,9.8
Alanna Smith,MIN,F,20,530,20,20,26.5,4.0,8.2,.485,1.3,3.9,.333,2.7,4.3,.624,0.7,1.5,.467,1.6,5.5,2.7,1.0,2.3,1.6,2.8,9.9
Azura Stevens,LAS,F-C,20,583,20,20,29.2,5.3,10.4,.507,1.6,4.2,.373,3.7,6.2,.597,2.3,3.0,.767,1.9,8.6,2.0,1.5,1.4,1.7,2.7,14.4
Breanna Stewart,NYL,F,19,618,19,19,32.5,6.6,14.1,.472,0.6,3.1,.207,6.0,11.0,.545,5.7,7.0,.812,1.0,6.5,3.7,1.3,1.3,2.2,1.9,19.6
Kiah Stokes,LVA,C,20,392,20,18,19.6,0.8,2.3,.348,0.1,1.0,.105,0.7,1.4,.519,0.3,0.4,.625,1.2,5.7,0.8,0.5,0.4,0.6,1.9,2.0
Sug Sutton,WAS,G,19,469,19,19,24.7,2.6,5.6,.467,1.1,2.7,.404,1.5,2.9,.527,0.9,1.2,.739,0.2,1.5,3.1,1.1,0.2,1.5,1.3,7.3
Brittney Sykes,WAS,G,17,549,17,17,32.3,5.1,13.6,.377,0.9,2.6,.356,4.2,10.9,.382,6.3,8.1,.775,0.5,3.8,4.5,1.1,0.3,3.2,2.9,17.5
Stephanie Talbot,GSV,F,16,268,16,10,16.8,1.3,3.7,.339,0.5,2.0,.250,0.8,1.7,.444,0.6,0.9,.643,0.9,3.3,2.0,0.6,0.1,1.2,1.3,3.6
Taylor Thierry,ATL,G-F,10,15,10,0,1.5,0.1,0.4,.250,0.1,0.2,.500,0.0,0.2,.000,0.0,0.0,,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.3
Alyssa Thomas,PHO,F,15,460,15,15,30.7,6.2,11.5,.538,0.0,0.1,.000,6.2,11.5,.541,2.9,4.3,.688,1.7,7.5,9.5,1.6,0.4,3.1,2.5,15.3
Kayla Thornton,GSV,F,19,572,19,19,30.1,4.9,12.9,.382,1.9,6.7,.289,3.0,6.2,.483,3.2,3.9,.824,1.9,7.1,1.3,1.5,0.2,1.7,2.2,15.1
Makayla Timpson,IND,F-C,12,76,12,0,6.3,0.8,1.5,.500,0.0,0.0,,0.8,1.5,.500,0.5,0.8,.600,0.4,1.8,0.0,0.5,0.3,0.3,1.3,2.0
Brianna Turner,IND,F-C,13,53,13,0,4.1,0.2,0.8,.200,0.0,0.0,,0.2,0.8,.200,0.1,0.2,.500,0.2,0.7,0.2,0.0,0.1,0.3,0.5,0.4
Sevgi Uzun,PHO,G,7,102,7,0,14.6,0.4,2.0,.214,0.1,1.1,.125,0.3,0.9,.333,0.6,0.9,.667,0.0,0.9,2.0,0.6,0.4,1.4,1.3,1.6
Maria Kliundikova,MIN,F,11,107,11,1,9.7,1.7,3.4,.514,0.3,0.8,.333,1.5,2.5,.571,0.5,0.8,.667,1.2,2.9,0.5,0.8,0.9,0.5,1.2,4.3
Hailey Van Lith,CHI,G,17,209,17,0,12.3,1.3,3.6,.355,0.2,1.2,.190,1.1,2.4,.439,1.1,1.4,.783,0.1,1.0,1.3,0.4,0.2,1.2,0.6,3.9
Shatori Walker-Kimbrough,ATL,G,20,182,20,1,9.1,0.6,1.8,.314,0.2,0.8,.188,0.4,1.0,.421,0.2,0.4,.571,0.1,0.8,0.6,0.3,0.3,0.4,0.7,1.5
Kathryn Westbeld,PHO,F,20,456,20,20,22.8,2.5,6.4,.386,1.2,3.8,.303,1.3,2.6,.510,0.8,0.9,.833,0.9,3.2,1.2,1.2,0.9,0.6,2.1,6.8
Maddy Westbeld,CHI,F,9,60,9,0,6.7,0.6,1.8,.313,0.3,0.9,.375,0.2,0.9,.250,0.2,0.2,1.000,0.6,1.7,0.3,0.3,0.2,0.6,0.9,1.7
Erica Wheeler,SEA,G,21,569,21,14,27.1,4.2,9.8,.429,1.6,4.1,.391,2.6,5.6,.458,1.2,1.5,.839,0.5,3.1,3.8,1.2,0.2,1.7,2.2,11.2
Sami Whitcomb,PHO,G,19,501,19,14,26.4,3.8,9.0,.421,2.3,6.2,.368,1.5,2.8,.537,1.2,1.4,.852,0.6,3.6,2.5,0.9,0.2,1.4,1.9,11.1
Courtney Williams,MIN,G,21,581,21,21,27.7,5.8,13.3,.432,1.5,3.8,.388,4.3,9.5,.450,1.0,1.2,.808,0.6,4.9,5.9,1.6,0.2,2.5,2.1,14.0
Elizabeth Williams,CHI,C-F,19,378,19,4,19.9,3.4,7.3,.471,0.0,0.0,,3.4,7.3,.471,1.2,2.3,.523,1.5,4.4,1.5,0.7,0.7,1.1,1.4,8.1
Gabby Williams,SEA,F,21,712,21,21,33.9,5.4,11.8,.460,1.7,4.8,.347,3.8,7.0,.537,1.5,1.8,.816,0.7,4.7,4.5,2.6,0.5,2.2,1.5,14.0
Kiana Williams,PHO,G,4,42,4,0,10.5,2.3,3.8,.600,0.8,1.8,.429,1.5,2.0,.750,0.0,0.0,,0.0,1.3,1.0,0.3,0.0,0.3,0.0,5.3
Jackie Young,LVA,G,20,602,20,20,30.1,5.8,13.5,.426,1.6,5.3,.305,4.2,8.3,.503,3.8,4.2,.893,1.3,4.3,3.8,1.1,0.4,2.5,2.7,16.9
Cecilia Zandalasini,GSV,F,5,101,5,2,20.2,2.6,6.2,.419,1.6,3.8,.421,1.0,2.4,.417,1.6,1.8,.889,0.2,1.8,1.2,1.2,0.2,1.2,2.4,8.4
DeWanna Bonner,TOT,G-F,10,218,10,3,21.8,2.1,6.1,.344,0.9,2.7,.333,1.2,3.4,.353,2.0,2.2,.909,0.5,4.0,1.6,1.1,0.1,0.9,1.4,7.1
Haley Jones,TOT,F-G,7,87,7,0,12.4,1.4,3.3,.435,0.1,0.6,.250,1.3,2.7,.474,0.0,0.0,,0.4,2.3,1.0,0.3,0.1,0.3,1.1,3.0
Liatu King,TOT,F,14,136,14,0,9.7,0.9,1.9,.481,0.1,0.4,.167,0.9,1.5,.571,0.8,1.1,.733,0.9,2.1,0.3,0.1,0.0,0.8,1.0,2.7
Tiffany Mitchell,TOT,G,17,230,17,2,13.5,1.1,2.6,.400,0.2,0.8,.286,0.8,1.8,.452,1.4,1.8,.774,0.5,1.9,0.4,0.4,0.2,0.8,1.7,3.8
NaLyssa Smith,TOT,F,22,441,22,18,20.0,2.6,5.9,.438,0.1,0.5,.167,2.5,5.4,.466,1.7,2.7,.627,1.7,5.2,0.8,0.5,0.9,1.1,2.8,7.0
Julie Vanloo,TOT,G,12,209,12,2,17.4,1.7,4.8,.351,1.2,3.8,.304,0.5,0.9,.545,0.4,0.5,.833,0.2,1.6,3.5,0.5,0.0,2.3,1.7,4.9
Li Yueru,TOT,C,18,299,18,6,16.6,1.5,4.0,.375,0.4,1.1,.421,1.1,2.9,.358,1.9,2.2,.875,1.8,4.4,0.8,0.3,0.1,1.2,2.1,5.4
DeWanna Bonner,IND,G-F,9,192,9,3,21.3,2.1,6.1,.345,1.0,2.8,.360,1.1,3.3,.333,1.9,2.1,.895,0.4,3.8,1.6,1.1,0.1,1.0,1.4,7.1
Haley Jones,PHO,F-G,4,48,4,0,12.0,1.0,3.0,.333,0.3,0.5,.500,0.8,2.5,.300,0.0,0.0,,0.5,2.0,1.0,0.3,0.3,0.5,1.0,2.3
Liatu King,LAS,F,12,120,12,0,10.0,1.0,2.0,.500,0.1,0.5,.167,0.9,1.5,.611,0.9,1.3,.733,0.8,2.1,0.3,0.2,0.0,0.9,1.0,3.0
Tiffany Mitchell,LVA,G,16,210,16,2,13.1,1.0,2.6,.390,0.3,0.8,.308,0.8,1.8,.429,1.4,1.8,.793,0.4,1.8,0.4,0.4,0.2,0.9,1.6,3.7
NaLyssa Smith,DAL,F,18,344,18,15,19.1,2.5,5.9,.425,0.1,0.6,.182,2.4,5.3,.453,1.6,2.6,.617,1.6,4.9,0.8,0.4,0.9,0.9,2.3,6.7
Julie Vanloo,GSV,G,9,180,9,2,20.0,1.6,5.3,.292,0.9,4.2,.211,0.7,1.1,.600,0.6,0.7,.833,0.2,1.9,4.1,0.7,0.0,2.6,1.8,4.6
