Player,Team,PPG,APG,RPG,3PM,Games
Sebastian Williams-Adams,AUB,14.5,4.0,5.5,0.5,2
Tahaad Pettiford,AUB,12.0,3.0,2.5,1.5,2
Armoni Zeigler,BALL,16.5,3.0,6.0,0.0,2
Cam Denson,BALL,12.0,1.5,4.5,1.0,2
Davion Hill,BALL,16.0,4.0,7.0,1.5,2
Devon Barnes,BALL,7.5,0.5,2.0,1.5,2
Easton Foster,BALL,2.0,1.0,1.0,0.0,1
Elmore James IV,BALL,10.0,1.0,1.5,0.5,2
Jai Anthoni Bearden,BALL,2.0,0.0,0.0,0.0,1
Juwan Maxey,BALL,5.0,2.5,4.0,1.5,2
Kayden Fish,BALL,7.5,0.5,1.5,0.5,2
Kody Clancy,BALL,0.0,0.0,0.0,0.0,1
Mason Jones,BALL,3.0,1.0,4.5,0.5,2
Preston Copeland,BALL,0.0,0.0,2.0,0.0,1
Caden Powell,BAY,9.0,1.0,7.0,0.0,2
Cameron Carr,BAY,22.0,1.0,5.5,3.0,2
Dan Skillings Jr.,BAY,13.5,2.0,5.5,1.0,2
Isaac Williams IV,BAY,7.0,2.0,2.5,0.5,2
JJ White,BAY,0.0,0.0,0.5,0.0,2
Michael Rataj,BAY,8.0,1.5,5.5,0.5,2
Obi Agbim,BAY,9.0,6.0,2.5,2.0,2
Tounde Yessoufou,BAY,18.5,1.5,6.0,1.5,2
Aidan Shaw,BC,3.0,0.5,8.0,0.0,2
Boden Kapke,BC,12.0,0.5,8.0,1.5,2
Caleb Steger,BC,4.0,0.5,0.0,1.0,2
Chase Forte,BC,13.0,5.0,3.0,0.5,2
Donald Hand Jr.,BC,19.0,0.5,7.5,1.0,2
Fred Payne,BC,6.5,3.5,3.5,1.0,2
Jack DiDonna,BC,0.0,0.0,0.0,0.0,1
Jason Asemota,BC,5.5,0.0,4.0,1.0,2
Jayden Hastings,BC,6.5,0.0,4.5,0.0,2
Kany Tchanda,BC,0.0,0.0,1.0,0.0,1
Marko Radunovic,BC,7.5,0.5,7.0,1.5,2
Will Eggemeier,BC,0.0,0.0,0.0,0.0,1
Ariel Bland,BCU,4.5,1.5,2.0,0.0,2
Arterio Morris,BCU,12.0,3.0,6.5,1.5,2
Dailon Minor,BCU,0.0,0.0,0.0,0.0,1
Daniel Rouzan,BCU,12.5,2.0,6.0,0.0,2
David Onanina,BCU,3.0,0.5,1.5,0.0,2
Jakobi Heady,BCU,14.0,1.5,3.5,3.0,2
Jordan Johnson,BCU,6.5,0.5,3.5,1.0,2
Quentin Heady,BCU,10.5,1.5,2.5,0.5,2
Rickey Mitchell Jr.,BCU,2.5,1.0,3.0,0.5,2
Seneca Willoughby,BCU,10.0,2.5,2.5,2.5,2
Tyler Andrews,BCU,0.0,0.0,0.0,0.0,1
Aidan Noyes,BEL,1.0,0.0,0.5,0.0,2
Brigham Rogers,BEL,8.0,0.0,4.0,0.0,2
Cooper Haynes,BEL,0.0,0.0,0.0,0.0,1
Drew Scharnowski,BEL,11.5,2.0,4.0,0.0,2
Eoin Dillon,BEL,1.5,0.0,1.0,0.5,2
Graydon Lemke,BEL,0.0,0.0,0.0,0.0,1
Isaiah West,BEL,2.5,0.5,1.0,0.0,2
Jabez Jenkins,BEL,12.0,1.5,5.0,0.0,2
Jack Smiley,BEL,1.5,0.5,0.0,0.5,2
Jake Dykstra,BEL,0.0,0.0,0.0,0.0,1
Keith Robbins,BEL,0.0,0.0,0.0,0.0,1
Nic McClain,BEL,10.5,6.5,5.0,0.0,2
Sam Orme,BEL,17.5,3.0,6.5,1.0,2
Tyler Lundblade,BEL,16.0,2.0,2.0,3.5,2
Win Miller,BEL,1.0,1.0,0.0,0.0,2
Brian Waddell,BELL,9.0,1.0,3.0,1.5,2
Darrius Bolden,BELL,0.0,0.5,2.5,0.0,2
Dominique Murphy,BELL,1.0,0.0,0.5,0.0,2
Donovan Hunter,BELL,6.5,0.5,1.0,1.5,2
Grant Neal,BELL,2.0,0.0,0.0,0.0,1
Grant Whitaker,BELL,0.0,1.5,1.5,0.0,2
Jack Karasinski,BELL,20.5,0.5,6.5,2.0,2
Jacob Wassler,BELL,10.0,1.0,2.0,0.0,1
Kenyon Goodin,BELL,4.0,3.0,2.0,0.0,1
Michael Wilson Jr.,BELL,12.0,1.0,3.0,0.0,2
Myles Watkins,BELL,3.0,2.5,0.5,0.0,2
Sam Donald,BELL,3.0,3.0,1.0,1.0,1
Tommy Clark,BELL,3.0,0.0,0.0,1.0,1
Tyler Doyle,BELL,2.0,2.5,1.5,0.0,2
Aiden Goins,BGSU,4.0,0.0,1.3333334,0.0,3
Alijah Adem,BGSU,0.5,0.5,0.0,0.0,2
Camden Karel,BGSU,5.5,0.5,3.0,0.5,2
Christian Dedivanaj,BGSU,0.0,1.0,1.5,0.0,2
Jason Kimbrough Jr.,BGSU,3.3333333,1.6666666,1.0,0.6666667,3
Javon Ruffin,BGSU,11.666667,1.6666666,1.3333334,1.6666666,3
Javontae Campbell,BGSU,20.666666,3.3333333,5.3333335,0.6666667,3
Josiah Shackelford,BGSU,13.0,0.33333334,3.0,1.3333334,3
Justin Thomas,BGSU,4.0,3.6666667,4.0,0.33333334,3
Makhi Leach,BGSU,3.3333333,0.6666667,2.3333333,0.33333334,3
Mayar Wol,BGSU,13.0,1.3333334,3.3333333,2.0,3
Mohamed Maxamud,BGSU,2.5,0.0,2.0,0.0,2
Sam Towns,BGSU,9.333333,1.6666666,5.0,1.0,3
Troy Glover II,BGSU,7.3333335,1.6666666,3.6666667,0.0,3
Bryson Wilson,BING,7.3333335,0.0,4.0,0.33333334,3
Demetrius Lilley,BING,15.5,0.5,13.5,0.0,2
Jackson Benigni,BING,5.6666665,0.0,1.3333334,1.3333334,3
Jayden Kelsey,BING,0.5,2.5,1.5,0.0,2
Jeremiah Quigley,BING,10.666667,5.0,3.3333333,0.33333334,3
Ryan Richardson,BING,3.0,2.0,2.6666667,0.33333334,3
Stephan Snagg,BING,2.0,0.0,1.0,0.0,3
Wes Peterson Jr.,BING,4.6666665,1.3333334,2.6666667,0.6666667,3
Zyier Beverly,BING,13.333333,0.0,6.3333335,0.33333334,3
Aginaldo Neto,BOIS,9.5,2.0,1.5,0.5,2
Andrew Meadow,BOIS,14.0,1.5,5.0,1.0,2
Bhan Buom,BOIS,2.0,0.0,1.0,0.0,1
Dominic Parolin,BOIS,4.0,0.5,5.0,0.0,2
Drew Fielder,BOIS,16.5,2.0,6.5,1.5,2
Dylan Andrews,BOIS,11.0,5.5,1.5,2.0,2
Javan Buchanan,BOIS,8.0,3.0,2.5,0.5,2
Julian Bowie,BOIS,1.5,0.5,0.0,0.5,2
Pearson Carmichael,BOIS,4.0,1.5,0.5,0.5,2
RJ Keene II,BOIS,3.5,1.5,3.0,0.5,2
Spencer Ahrens,BOIS,16.5,1.0,5.0,3.0,2
AJ Smith,BRAD,11.0,2.0,4.5,1.5,2
Ahmet Jonovic,BRAD,3.0,1.5,5.0,0.0,2
