teamName,playerName,position,updated,injury,injuryStatus
Colorado,A. SenzatelaAntonio Senzatela,SP,"Sat, Aug 2",Finger,Expected to be out until at least Aug 17
Colorado,J. CriswellJeff Criswell,SP,"Mon, Apr 14",Elbow,Out for the season
Detroit,A. LangeAlex Lange,RP,"Sat, Aug 16",Lat,Expected to be out until at least Aug 16
Detroit,W. FloresWilmer Flores,SP,"Sat, Aug 16",Shoulder,Expected to be out until at least Aug 16
Detroit,R. OlsonReese Olson,SP,"Mon, Aug 11",Shoulder,Out for the season
Detroit,M. VierlingMatt Vierling,CF,"Sun, Aug 10",Oblique,Expected to be out until at least Aug 20
Detroit,J. JobeJackson Jobe,SP,"Sun, Aug 10",Elbow,Out for the season
Detroit,J. UrquidyJose Urquidy,SP,"Sat, Aug 9",Elbow,Expected to be out until at least Sep 1
Detroit,P. MeadowsParker Meadows,CF,"Tue, Aug 5",Quadriceps,Expected to be out until at least Aug 18
Detroit,F. MontillaFranyerber Montilla,SS,"Mon, Aug 4",Knee,Out for the season
Detroit,T. MaddenTy Madden,SP,"Mon, Aug 4",Shoulder,Expected to be out until at least Aug 17
Detroit,A. CobbAlex Cobb,SP,"Sun, Aug 3",Hip,Expected to be out until at least Aug 25
Detroit,P. SewaldPaul Sewald,RP,"Thu, Jul 31",Shoulder,Expected to be out until at least Sep 10
Detroit,J. FoleyJason Foley,RP,"Wed, Jun 4",Shoulder,Out for the season
Houston,J. HaderJosh Hader,RP,"Fri, Aug 15",Shoulder,Expected to be out until at least Sep 12
Houston,J. PenaJeremy Pena,SS,"Fri, Aug 15",Illness,Probable for Aug 16
Houston,L. McCullersLance McCullers,SP,"Wed, Aug 13",Finger,Expected to be out until at least Aug 20
Houston,C. GomezCesar Gomez,RP,"Mon, Aug 11",Undisclosed,Expected to be out until at least Aug 16
Houston,R. BlancoRonel Blanco,SP,"Mon, Aug 11",Elbow,Out for the season
Houston,P. LeonPedro Leon,CF,"Sun, Aug 10",Knee,Expected to be out until at least Aug 18
Houston,L. GarciaLuis Garcia,SP,"Sun, Aug 10",Elbow,Expected to be out until at least Aug 26
Houston,B. WalterBrandon Walter,SP,"Sun, Aug 10",Elbow,Expected to be out until at least Aug 21
Houston,G. OttoGlenn Otto,RP,"Sun, Aug 10",Shoulder,Expected to be out until at least Aug 20
Houston,J. MeyersJake Meyers,CF,"Sun, Aug 10",Calf,Expected to be out until at least Aug 21
Houston,I. ParedesIsaac Paredes,3B,"Wed, Aug 6",Hamstring,Expected to be out until at least Sep 19
Houston,Z. DezenzoZach Dezenzo,LF,"Tue, Aug 5",Hand,Expected to be out until at least Aug 20
Houston,J. FranceJ.P. France,SP,"Sun, Aug 3",Shoulder,Expected to be out until at least Aug 20
Houston,Y. AlvarezYordan Alvarez,DH,"Sat, Aug 2",Hand,Expected to be out until at least Aug 15
Houston,B. RodgersBrendan Rodgers,2B,"Tue, Jul 29",Concussion,Expected to be out until at least Aug 18
Houston,H. WesneskiHayden Wesneski,SP,"Tue, May 20",Elbow,Out for the season
Kansas City,M. MasseyMichael Massey,2B,"Sat, Aug 16",Wrist,Expected to be out until at least Aug 16
Kansas City,R. BradyRyan Brady,RP,"Sat, Aug 16",Undisclosed,Expected to be out until at least Aug 16
Kansas City,J. CaglianoneJac Caglianone,RF,"Sat, Aug 16",Hamstring,Expected to be out until at least Aug 16
Kansas City,M. LorenzenMichael Lorenzen,SP,"Sat, Aug 16",Oblique,Expected to be out until at least Aug 16
Kansas City,M. CanhaMark Canha,LF,"Sat, Aug 16",Elbow,Expected to be out until at least Aug 16
Kansas City,H. HarveyHunter Harvey,RP,"Tue, Aug 12",Groin,Expected to be out until at least Sep 16
Kansas City,C. RagansCole Ragans,SP,"Mon, Aug 11",Shoulder,Expected to be out until at least Sep 2
Kansas City,S. CruzSteven Cruz,RP,"Sun, Aug 3",Shoulder,Expected to be out until at least Aug 18
Kansas City,K. BubicKris Bubic,SP,"Fri, Aug 1",Shoulder,Out for the season
Kansas City,A. MarshAlec Marsh,RP,"Wed, Jul 30",Shoulder,Expected to be out until at least Aug 22
Kansas City,C. ScottConnor Scott,RF,"Wed, Jul 30",Undisclosed,Out for the season
Kansas City,J. McArthurJames McArthur,RP,"Fri, Jul 18",Elbow,Expected to be out until at least Sep 1
Kansas City,A. SimonelliAnthony Simonelli,SP,"Sun, Jun 29",Undisclosed,Out for the season
L.A. Angels,M. ErlaMason Erla,P,"Sat, Aug 16",Undisclosed,Expected to be out until at least Aug 16
L.A. Angels,J. SolerJorge Soler,RF,"Fri, Aug 15",Back,Expected to be out until at least Aug 22
L.A. Angels,G. CamperoGustavo Campero,RF,"Wed, Aug 13",Ankle,Expected to be out until at least Sep 16
L.A. Angels,R. StephensonRobert Stephenson,RP,"Sun, Aug 3",Biceps,Expected to be out until at least Aug 25
L.A. Angels,B. JoyceBen Joyce,RP,"Sun, Jul 27",Shoulder,Out for the season
L.A. Angels,C. TaylorChris Taylor,RF,"Sat, Jul 26",Hand,Expected to be out until at least Sep 1
L.A. Angels,A. RendonAnthony Rendon,3B,"Tue, Jul 15",Hip,Expected to be out until at least Sep 1
L.A. Angels,H. StricklandHunter Strickland,RP,"Wed, Jul 9",Shoulder,Expected to be out until at least Sep 5
L.A. Dodgers,B. StewartBrock Stewart,RP,"Fri, Aug 15",Shoulder,Expected to be out until at least Sep 12
L.A. Dodgers,M. MuncyMax Muncy,3B,"Fri, Aug 15",Oblique,Expected to be out until at least Sep 12
L.A. Dodgers,R. SasakiRoki Sasaki,SP,"Fri, Aug 15",Shoulder,Expected to be out until at least Aug 29
L.A. Dodgers,B. GraterolBrusdar Graterol,RP,"Thu, Aug 14",Shoulder,Out for the season
L.A. Dodgers,T. GonsolinTony Gonsolin,SP,"Tue, Aug 12",Elbow,Out for the season
L.A. Dodgers,T. ScottTanner Scott,RP,"Mon, Aug 11",Elbow,Expected to be out until at least Aug 22
L.A. Dodgers,E. PhillipsEvan Phillips,RP,"Mon, Aug 11",Elbow,Out for the season
L.A. Dodgers,E. HernandezEnrique Hernandez,1B,"Sun, Aug 10",Elbow,Expected to be out until at least Sep 2
L.A. Dodgers,K. YatesKirby Yates,RP,"Sun, Aug 10",Back,Expected to be out until at least Aug 18
L.A. Dodgers,H. KimHye Seong Kim,2B,"Sun, Aug 10",Shoulder,Expected to be out until at least Aug 22
