PLAYERPLAYER,TEAMTEAM,GGames PlayedGames in which a player has appeared.GGames PlayedGames in which a player has appeared.,"ABAt BatsTrips to the plate that do not result in a walk, hit by pitch, sacrifice, or reach on interference.ABAt BatsTrips to the plate that do not result in a walk, hit by pitch, sacrifice, or reach on interference.",RRunsWhen a baserunner safely reaches home plate and scores.RRunsWhen a baserunner safely reaches home plate and scores.,HHitsWhen a batter reaches base safely on a fair ball unless the batter is deemed by the official scorer to have reached on an error or a fielder's choice.HHitsWhen a batter reaches base safely on a fair ball unless the batter is deemed by the official scorer to have reached on an error or a fielder's choice.,2BDoublesWhen a batter reaches on a hit and stops at second base or only advances farther than second base on an error or a fielder's attempt to put out another baserunner.2BDoublesWhen a batter reaches on a hit and stops at second base or only advances farther than second base on an error or a fielder's attempt to put out another baserunner.,3BTriplesWhen a batter reaches on a hit and stops at third base or only advances farther than third base on an error or a fielder's attempt to put out another baserunner.3BTriplesWhen a batter reaches on a hit and stops at third base or only advances farther than third base on an error or a fielder's attempt to put out another baserunner.,"HRHome RunsWhen a batter reaches on a hit, touches all bases, and scores a run without a putout recorded or the benefit of error.HRHome RunsWhen a batter reaches on a hit, touches all bases, and scores a run without a putout recorded or the benefit of error.","caret-upcaret-downRBIRuns Batted InRuns which score because of the batter's safe hit, sac bunt, sac fly, infield out or fielder's choice or is forced to score by a bases loaded walk, hit batter, or interference.caret-upcaret-downRBIRuns Batted InRuns which score because of the batter's safe hit, sac bunt, sac fly, infield out or fielder's choice or is forced to score by a bases loaded walk, hit batter, or interference.",BBWalksWhen a batter is awarded first base after four balls have been called by the umpire or the opposing team opts to intentionally award the batter first base.BBWalksWhen a batter is awarded first base after four balls have been called by the umpire or the opposing team opts to intentionally award the batter first base.,SOStrikeoutsWhen the umpire calls three strikes on the batter.SOStrikeoutsWhen the umpire calls three strikes on the batter.,"SBStolen BasesWhen the runner advances one base unaided by a hit, a putout, an error, a force-out, a fielder's choice, a passed ball, a wild pitch, or a balk.SBStolen BasesWhen the runner advances one base unaided by a hit, a putout, an error, a force-out, a fielder's choice, a passed ball, a wild pitch, or a balk.",CSCaught StealingWhen a runner attempts to steal but is tagged out before safely attaining the next base.CSCaught StealingWhen a runner attempts to steal but is tagged out before safely attaining the next base.,AVGBatting AverageThe rate of hits per at bat.H/ABAVGBatting AverageThe rate of hits per at bat.H/AB,OBPOn-Base PercentageThe rate at which a batter reached base in his plate appearances.(H+BB+HBP)/(AB+BB+HBP+SF)OBPOn-Base PercentageThe rate at which a batter reached base in his plate appearances.(H+BB+HBP)/(AB+BB+HBP+SF),SLGSlugging PercentageThe rate of total bases per at bat.(1B+2Bx2+3Bx3+HRx4)/ABSLGSlugging PercentageThe rate of total bases per at bat.(1B+2Bx2+3Bx3+HRx4)/AB,OPSOn-Base Plus SluggingThe sum of on-base percentage and slugging percentage.OBP+SLGOPSOn-Base Plus SluggingThe sum of on-base percentage and slugging percentage.OBP+SLG
22SpencerS SteerSteerLF22‌‌‌,CIN,158,574,74,129,34,4,20,92,72,137,25,3,.225,.319,.402,.721
25FranciscoF LindorLindorSS25‌‌‌,NYM,152,618,107,169,39,1,33,91,56,127,29,4,.273,.344,.500,.844
26JacksonJ MerrillMerrillCF26‌‌‌,SD,156,554,77,162,31,6,24,90,29,101,16,3,.292,.326,.500,.826
26BrandonB NimmoNimmoLF26‌‌‌,NYM,151,571,88,128,25,3,23,90,77,158,15,0,.224,.327,.399,.726
28FreddieF FreemanFreeman1B28‌‌‌,LAD,147,542,81,153,35,2,22,89,78,100,9,2,.282,.378,.476,.854
29PeteP AlonsoAlonso1B29‌‌‌,NYM,162,608,91,146,31,0,34,88,70,172,3,0,.240,.329,.459,.788
29BryanB ReynoldsReynoldsLF29‌‌‌,PIT,156,622,73,171,29,3,24,88,57,156,10,2,.275,.344,.447,.791
31BryceB HarperHarper1B31‌‌‌,PHI,145,550,85,157,42,0,30,87,76,138,7,4,.285,.373,.525,.898
32YordanY AlvarezAlvarezDH32‌‌‌,HOU,147,552,88,170,34,2,35,86,69,95,6,0,.308,.392,.567,.959
32NickN CastellanosCastellanosRF32‌‌‌,PHI,162,606,80,154,30,4,23,86,41,139,6,2,.254,.311,.431,.742
32IanI HappHappLF32‌‌‌,CHC,153,569,89,138,34,2,25,86,80,168,13,2,.243,.341,.441,.782
35AdolisA GarcíaGarcíaRF35‌‌‌,TEX,154,580,68,130,27,0,25,85,45,177,11,5,.224,.284,.400,.684
35JuricksonJ ProfarProfarLF35‌‌‌,SD,158,564,94,158,29,0,24,85,76,101,10,3,.280,.380,.459,.839
37YainerY DiazDiazC37‌‌‌,HOU,148,585,70,175,29,3,16,84,24,107,2,0,.299,.325,.441,.766
37ChristianC WalkerWalker1B37‌‌‌,AZ,130,479,72,120,26,0,26,84,55,133,2,2,.251,.335,.468,.803
39JakeJ CronenworthCronenworth1B39‌‌‌,SD,155,577,72,139,29,3,17,83,61,118,5,2,.241,.324,.390,.714
39RafaelR DeversDevers3B39‌‌‌,BOS,138,525,87,143,34,5,28,83,67,147,3,0,.272,.354,.516,.870
41RhysR HoskinsHoskins1B41‌‌‌,MIL,131,449,59,96,14,0,26,82,53,149,3,0,.214,.303,.419,.722
42SheaS LangeliersLangeliersC42‌‌‌,OAK,137,482,58,108,18,2,29,80,41,145,4,2,.224,.288,.450,.738
42IsaacI ParedesParedes3B42‌‌‌,CHC,153,542,64,129,25,1,19,80,76,105,1,1,.238,.346,.393,.739
44JacksonJ ChourioChourioLF44‌‌‌,MIL,148,528,80,145,29,4,21,79,39,121,22,7,.275,.327,.464,.791
44AdleyA RutschmanRutschmanC44‌‌‌,BAL,148,571,68,143,21,1,19,79,58,103,1,0,.250,.318,.391,.709
46CodyC BellingerBellingerRF46‌‌‌,CHC,130,516,72,137,23,3,18,78,45,89,9,2,.266,.325,.426,.751
46AlecA BurlesonBurlesonDH46‌‌‌,STL,152,547,71,147,20,0,21,78,35,76,9,4,.269,.314,.420,.734
46MattM ChapmanChapman3B46‌‌‌,SF,154,575,98,142,39,2,27,78,64,158,15,2,.247,.328,.463,.791
46EzequielE TovarTovarSS46‌‌‌,COL,157,655,83,176,45,4,26,78,23,200,6,5,.269,.295,.469,.764
50ZachZ NetoNetoSS50‌‌‌,LAA,155,542,70,135,34,1,23,77,39,140,30,10,.249,.318,.443,.761
51JakeJ BurgerBurger1B51‌‌‌,MIA,137,535,68,134,23,1,29,76,31,150,1,1,.250,.301,.460,.761
51OneilO CruzCruzSS51‌‌‌,PIT,146,541,72,140,34,3,21,76,51,181,22,1,.259,.324,.449,.773
51EllyE De La CruzDe La CruzSS51‌‌‌,CIN,160,618,105,160,36,10,25,76,69,218,67,16,.259,.339,.471,.810
54MookieM BettsBettsSS54‌‌‌,LAD,116,450,75,130,24,5,19,75,61,57,16,2,.289,.372,.491,.863
54AlexA BregmanBregman3B54‌‌‌,HOU,145,581,79,151,30,2,26,75,44,86,3,1,.260,.315,.453,.768
54JarrenJ DuranDuranCF54‌‌‌,BOS,160,671,111,191,48,14,21,75,54,160,34,7,.285,.342,.492,.834
54LourdesL Gurriel Jr.GurrielLF54‌‌‌,AZ,133,513,72,143,22,2,18,75,29,101,7,1,.279,.322,.435,.757
54CeddanneC RafaelaRafaelaCF54‌‌‌,BOS,152,544,70,134,23,5,15,75,15,151,19,10,.246,.274,.390,.664
54WillW SmithSmithC54‌‌‌,LAD,128,476,77,118,24,2,20,75,51,105,1,1,.248,.327,.433,.760
54TaylorT WardWardLF54‌‌‌,LAA,156,585,73,144,26,2,25,75,63,163,6,4,.246,.323,.426,.749
61CorbinC CarrollCarrollCF61‌‌‌,AZ,158,589,121,136,22,14,22,74,73,130,35,8,.231,.322,.428,.750
61RileyR GreeneGreeneLF61‌‌‌,DET,137,512,82,134,27,6,24,74,64,156,4,2,.262,.348,.479,.827
61WyattW LangfordLangfordLF61‌‌‌,TEX,134,499,74,126,25,4,16,74,51,115,19,3,.253,.325,.415,.740
61CoreyC SeagerSeagerSS61‌‌‌,TEX,123,475,68,132,21,0,30,74,53,96,1,1,.278,.353,.512,.865
61MarcusM SemienSemien2B61‌‌‌,TEX,159,650,101,154,27,2,23,74,64,105,8,3,.237,.308,.391,.699
66JazzJ Chisholm Jr.Chisholm3B66‌‌‌,NYY,147,562,74,144,21,4,24,73,53,152,40,10,.256,.324,.436,.760
66BrendanB DonovanDonovanLF66‌‌‌,STL,153,587,65,163,34,3,14,73,47,81,5,5,.278,.342,.417,.759
66SeiyaS SuzukiSuzukiRF66‌‌‌,CHC,132,512,74,145,27,6,21,73,63,160,16,6,.283,.366,.482,.848
69BrentonB DoyleDoyleCF69‌‌‌,COL,149,542,82,141,24,4,23,72,46,153,30,5,.260,.317,.446,.763
69HeliotH RamosRamosCF69‌‌‌,SF,121,475,54,128,23,3,22,72,37,135,6,1,.269,.322,.469,.791
69GiancarloG StantonStantonDH69‌‌‌,NYY,114,417,49,97,20,0,27,72,38,143,0,0,.233,.298,.475,.773
72NolanN ArenadoArenado3B72‌‌‌,STL,152,578,70,157,23,0,16,71,44,92,2,2,.272,.325,.394,.719
72JoshJ BellBell1B72‌‌‌,AZ,145,538,62,134,23,2,19,71,51,120,0,1,.249,.319,.405,.724
72CarlosC SantanaSantana1B72‌‌‌,MIN,150,521,63,124,26,0,23,71,65,99,4,0,.238,.328,.420,.748
72MarkM VientosVientos3B72‌‌‌,NYM,111,413,58,110,22,0,27,71,33,135,0,0,.266,.322,.516,.838
76LuisL García Jr.García2B76‌‌‌,WSH,140,500,58,141,25,1,18,70,27,86,22,5,.282,.318,.444,.762
76JeremyJ PeñaPeñaSS76‌‌‌,HOU,157,602,78,160,28,2,15,70,25,111,20,6,.266,.308,.394,.702
76AndrewA VaughnVaughn1B76‌‌‌,CWS,149,570,55,140,30,1,19,70,38,132,2,0,.246,.297,.402,.699
79ColtonC CowserCowserLF79‌‌‌,BAL,153,499,77,121,24,3,24,69,52,172,9,4,.242,.321,.447,.768
79NathanielN LoweLowe1B79‌‌‌,TEX,140,486,62,129,16,1,16,69,71,125,2,0,.265,.361,.401,.762
79J.D.J MartinezMartinezDH79‌‌‌,NYM,120,434,46,102,24,1,16,69,49,141,0,0,.235,.320,.406,.726
82BryanB De La CruzDe La CruzRF82‌‌‌,PIT,149,584,61,136,25,0,21,68,29,170,5,2,.233,.271,.384,.655
82JulioJ RodríguezRodríguezCF82‌‌‌,SEA,143,567,76,155,17,0,20,68,38,156,24,5,.273,.325,.409,.734
84MichaelM ConfortoConfortoLF84‌‌‌,SF,130,438,56,104,27,3,20,66,42,118,0,1,.237,.309,.450,.759
84TylerT StephensonStephensonC84‌‌‌,CIN,138,457,69,118,26,1,19,66,48,117,1,0,.258,.338,.444,.782
84DansbyD SwansonSwansonSS84‌‌‌,CHC,149,534,82,129,27,2,16,66,54,144,19,3,.242,.312,.390,.702
87CJC AbramsAbramsSS87‌‌‌,WSH,138,541,79,133,29,6,20,65,40,128,31,12,.246,.314,.433,.747
87JoseJ AltuveAltuve2B87‌‌‌,HOU,153,628,94,185,31,0,20,65,47,119,22,7,.295,.350,.439,.789
87MichaelM BuschBusch1B87‌‌‌,CHC,152,496,73,123,28,2,21,65,63,162,2,1,.248,.335,.440,.775
87YandyY DíazDíaz1B87‌‌‌,TB,145,563,55,158,31,1,14,65,50,95,0,0,.281,.341,.414,.755
87PaulP GoldschmidtGoldschmidt1B87‌‌‌,STL,154,599,70,147,33,1,22,65,47,173,11,0,.245,.302,.414,.716
87RyanR McMahonMcMahon3B87‌‌‌,COL,153,567,68,137,28,0,20,65,69,185,4,6,.242,.325,.397,.722
93AndrewA BenintendiBenintendiLF93‌‌‌,CWS,135,477,50,109,20,0,20,64,41,96,3,2,.229,.289,.396,.685
93RyanR JeffersJeffersC93‌‌‌,MIN,122,412,56,93,22,0,21,64,32,94,3,0,.226,.300,.432,.732
93JocJ PedersonPedersonDH93‌‌‌,AZ,132,367,62,101,17,1,23,64,55,105,7,4,.275,.393,.515,.908
93JorgeJ SolerSolerRF93‌‌‌,ATL,142,493,84,119,34,1,21,64,68,141,1,0,.241,.338,.442,.780
93JesúsJ SánchezSánchezRF93‌‌‌,MIA,149,489,60,123,25,1,18,64,41,140,16,2,.252,.313,.417,.730
98AndrésA GimenezGiménez2B98‌‌‌,CLE,152,583,64,147,22,1,9,63,26,97,30,5,.252,.298,.340,.638
98RyanR MountcastleMountcastle1B98‌‌‌,BAL,124,473,54,128,30,2,13,63,27,114,3,0,.271,.308,.425,.733
98LaneL ThomasThomasCF98‌‌‌,CLE,130,472,65,112,26,3,15,63,44,137,32,14,.237,.309,.400,.709
98GleyberG TorresTorres2B98‌‌‌,NYY,154,587,80,151,26,0,15,63,65,136,4,3,.257,.330,.378,.708
98JordanJ WestburgWestburg3B98‌‌‌,BAL,107,416,57,110,26,5,18,63,22,97,6,3,.264,.312,.481,.793
103JoJ AdellAdellRF103‌‌‌,LAA,130,405,54,84,15,2,20,62,35,126,15,10,.207,.280,.402,.682
103JoshJ SmithSmith3B103‌‌‌,TEX,149,523,67,135,30,1,13,62,46,121,11,2,.258,.337,.394,.731
103TreaT TurnerTurnerSS103‌‌‌,PHI,121,505,88,149,25,0,21,62,27,98,19,4,.295,.338,.469,.807
106ColtC KeithKeith2B106‌‌‌,DET,148,516,54,134,15,4,13,61,36,110,7,1,.260,.309,.380,.689
106JakeJ MeyersMeyersCF106‌‌‌,HOU,148,461,51,101,20,3,13,61,35,117,11,3,.219,.286,.360,.646
106TylerT O'NeillO'NeillLF106‌‌‌,BOS,113,411,74,99,18,0,31,61,53,159,4,0,.241,.336,.511,.847
106AlexA VerdugoVerdugoLF106‌‌‌,NYY,149,559,74,130,28,1,13,61,49,93,2,1,.233,.291,.356,.647
110RandyR ArozarenaArozarenaLF110‌‌‌,SEA,154,549,77,120,33,0,20,60,73,169,20,10,.219,.332,.388,.720
110JJJ BledayBledayCF110‌‌‌,OAK,159,572,74,139,43,4,20,60,67,125,2,3,.243,.324,.437,.761
110WilliW CastroCastroSS110‌‌‌,MIN,158,558,89,138,31,5,12,60,51,150,14,9,.247,.331,.385,.716
110BrandonB MarshMarshLF110‌‌‌,PHI,135,418,55,104,17,3,16,60,50,154,19,3,.249,.328,.419,.747
110ChristopherC MorelMorel2B110‌‌‌,TB,152,535,56,105,11,3,21,60,61,159,8,7,.196,.288,.346,.634
110JoeyJ OrtizOrtiz3B110‌‌‌,MIL,142,440,58,105,25,6,11,60,56,103,11,6,.239,.329,.398,.727
110AnthonyA VolpeVolpeSS110‌‌‌,NYY,160,637,90,155,27,7,12,60,42,156,28,7,.243,.293,.364,.657
117JonahJ HeimHeimC117‌‌‌,TEX,131,459,45,101,12,1,13,59,26,90,1,1,.220,.267,.336,.603
117RyanR O'HearnO'HearnDH117‌‌‌,BAL,142,443,60,117,21,3,15,59,46,69,3,1,.264,.334,.427,.761
119WilyerW AbreuAbreuRF119‌‌‌,BOS,132,399,59,101,33,2,15,58,40,125,8,3,.253,.322,.459,.781
119MaikelM GarciaGarcia3B119‌‌‌,KC,157,575,84,133,27,5,7,58,42,103,37,2,.231,.281,.332,.613
119JonathanJ IndiaIndia2B119‌‌‌,CIN,151,533,84,132,28,2,15,58,80,125,13,2,.248,.357,.392,.749
119BrandonB LoweLowe2B119‌‌‌,TB,107,385,56,94,19,3,21,58,33,112,5,1,.244,.311,.473,.784
119LukeL RaleyRaleyLF119‌‌‌,SEA,137,404,58,98,19,2,22,58,27,135,11,2,.243,.320,.463,.783
119DaultonD VarshoVarshoCF119‌‌‌,TOR,136,459,73,98,21,7,18,58,48,137,10,2,.214,.293,.407,.700
119JesseJ WinkerWinkerRF119‌‌‌,NYM,145,430,63,109,23,0,14,58,63,106,14,4,.253,.360,.405,.765
126LawrenceL ButlerButlerRF126‌‌‌,OAK,125,412,63,108,24,2,22,57,35,108,18,0,.262,.317,.490,.807
126KerryK CarpenterCarpenterRF126‌‌‌,DET,87,264,37,75,16,5,18,57,22,75,0,2,.284,.345,.587,.932
126KeibertK RuizRuizC126‌‌‌,WSH,127,459,46,105,21,0,13,57,16,54,3,1,.229,.260,.359,.619
126BrysonB StottStott2B126‌‌‌,PHI,148,506,65,124,19,2,11,57,53,93,32,3,.245,.315,.356,.671
126BriceB TurangTurang2B126‌‌‌,MIL,155,559,72,142,24,4,7,57,50,105,50,6,.254,.316,.349,.665
126MattM VierlingVierlingCF126‌‌‌,DET,144,518,80,133,28,5,16,57,41,121,6,1,.257,.312,.423,.735
126MasynM WinnWinnSS126‌‌‌,STL,150,587,85,157,32,5,15,57,41,109,11,5,.267,.314,.416,.730
126MikeM YastrzemskiYastrzemskiRF126‌‌‌,SF,140,428,60,99,16,9,18,57,38,124,3,2,.231,.302,.437,.739
134ByronB BuxtonBuxtonCF134‌‌‌,MIN,102,355,62,99,27,3,18,56,20,99,7,2,.279,.335,.524,.859
134JeimerJ CandelarioCandelario3B134‌‌‌,CIN,112,427,47,96,23,2,20,56,27,114,4,3,.225,.279,.429,.708
134PaulP DeJongDeJong3B134‌‌‌,KC,139,445,54,101,17,0,24,56,23,156,2,2,.227,.276,.427,.703
134JakeJ McCarthyMcCarthyRF134‌‌‌,AZ,142,442,66,126,13,7,8,56,31,78,25,6,.285,.349,.400,.749
134LoganL O'HoppeO'HoppeC134‌‌‌,LAA,136,479,64,117,17,1,20,56,33,155,2,3,.244,.303,.409,.712
134AustinA RileyRiley3B134‌‌‌,ATL,110,425,63,109,26,2,19,56,37,118,0,0,.256,.322,.461,.783
134GeorgeG SpringerSpringerRF134‌‌‌,TOR,145,545,74,120,19,3,19,56,60,115,16,1,.220,.303,.371,.674
134RowdyR TellezTellez1B134‌‌‌,PIT,132,383,38,93,18,0,13,56,31,89,1,0,.243,.299,.392,.691
134MasatakaM YoshidaYoshidaDH134‌‌‌,BOS,108,378,45,106,21,0,10,56,27,52,2,0,.280,.349,.415,.764
143TJT FriedlFriedlCF143‌‌‌,CIN,85,297,35,67,5,1,13,55,26,52,9,1,.226,.310,.380,.690
143MichaelM TogliaToglia1B143‌‌‌,COL,116,399,62,87,14,3,25,55,54,147,10,1,.218,.311,.456,.767
143JustinJ TurnerTurner1B143‌‌‌,SEA,139,460,59,119,24,0,11,55,59,95,0,2,.259,.354,.383,.737
143AustinA WellsWellsC143‌‌‌,NYY,115,354,42,81,18,1,13,55,47,87,1,2,.229,.322,.395,.717
147CarlosC CorreaCorreaSS147‌‌‌,MIN,86,319,55,99,20,2,14,54,40,61,0,0,.310,.388,.517,.905
147AlejandroA KirkKirkC147‌‌‌,TOR,103,340,23,86,19,1,5,54,35,51,0,0,.253,.319,.359,.678
147CedricC MullinsMullinsCF147‌‌‌,BAL,147,444,69,104,16,3,18,54,41,98,32,6,.234,.305,.405,.710
147BrendanB RodgersRodgers2B147‌‌‌,COL,135,501,67,134,29,1,13,54,31,132,1,0,.267,.314,.407,.721
147NolanN SchanuelSchanuel1B147‌‌‌,LAA,147,519,62,130,19,0,13,54,68,103,10,1,.250,.343,.362,.705
152OzzieO AlbiesAlbies2B152‌‌‌,ATL,99,399,52,100,29,1,10,53,27,65,8,1,.251,.303,.404,.707
153CharlieC BlackmonBlackmonDH153‌‌‌,COL,124,449,59,115,24,5,12,52,43,86,6,2,.256,.329,.412,.741
153TrevorT LarnachLarnachDH153‌‌‌,MIN,112,355,59,92,17,0,15,52,40,89,4,1,.259,.338,.434,.772
153HunterH RenfroeRenfroeRF153‌‌‌,KC,120,385,44,88,18,0,15,52,36,84,1,1,.229,.297,.392,.689
153GioG UrshelaUrshela3B153‌‌‌,ATL,128,432,34,108,19,1,9,52,23,72,0,0,.250,.286,.361,.647
153ConnorC WongWongC153‌‌‌,BOS,126,447,54,125,24,1,13,52,28,114,8,7,.280,.333,.425,.758
158HarrisonH BaderBaderCF158‌‌‌,NYM,143,402,57,95,19,0,12,51,21,95,17,8,.236,.284,.373,.657
158ErnieE ClementClement3B158‌‌‌,TOR,139,434,48,114,21,3,12,51,11,41,12,3,.263,.284,.408,.692
158TyT FranceFrance1B158‌‌‌,CIN,140,479,46,112,24,0,13,51,38,114,1,1,.234,.305,.365,.670
158DavidD FryFryDH158‌‌‌,CLE,122,335,44,88,18,1,14,51,42,84,4,1,.263,.356,.448,.804
158MitchM GarverGarverDH158‌‌‌,SEA,114,367,37,63,17,0,15,51,53,133,0,0,.172,.286,.341,.627
163NolanN GormanGorman2B163‌‌‌,STL,107,365,42,74,15,0,19,50,34,151,6,1,.203,.271,.400,.671
163GavinG LuxLux2B163‌‌‌,LAD,139,439,59,110,24,2,10,50,44,110,5,2,.251,.320,.383,.703
163AndrewA McCutchenMcCutchenDH163‌‌‌,PIT,120,448,66,104,18,1,20,50,58,133,3,2,.232,.328,.411,.739
166ZackZ GelofGelof2B166‌‌‌,OAK,138,497,60,105,20,2,17,49,38,188,25,3,.211,.270,.362,.632
166NickN GonzalesGonzales2B166‌‌‌,PIT,94,359,42,97,19,3,7,49,18,74,5,3,.270,.311,.398,.709
166JoseJ MirandaMiranda3B166‌‌‌,MIN,121,401,44,114,28,4,9,49,18,66,2,2,.284,.322,.441,.763
166MickeyM MoniakMoniakCF166‌‌‌,LAA,124,392,48,86,17,2,14,49,21,114,8,4,.219,.266,.380,.646
166FernandoF Tatis Jr.TatisRF166‌‌‌,SD,102,398,64,110,21,1,21,49,32,96,11,3,.276,.340,.492,.832
166KyleK TuckerTuckerRF166‌‌‌,HOU,78,277,56,80,13,0,23,49,56,54,11,0,.289,.408,.585,.993
172MichaelM Harris IIHarrisCF172‌‌‌,ATL,110,440,58,116,14,3,16,48,23,94,10,6,.264,.304,.418,.722
172NicoN HoernerHoerner2B172‌‌‌,CHC,151,582,86,159,35,1,7,48,44,66,31,6,.273,.335,.373,.708
172MaxM MuncyMuncy3B172‌‌‌,LAD,73,237,47,55,17,0,15,48,45,77,1,0,.232,.358,.494,.852
