PLAYER,TEAM,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
Leopold Delaunay,GOS,4,13.8,4.8,2.0,4.8,0.421,0.3,1.5,0.167,0.5,1.3,0.4,0.3,2.8,3.0,1.8,0.5,0.0,1.0,2.0
Dre Davis,BRK,4,13.3,4.8,1.5,5.3,0.286,0.8,3.8,0.2,1.0,1.3,0.8,0.5,1.3,1.8,0.5,0.3,1.0,0.8,2.0
Akoldah Gak,WAS,3,16.8,4.7,1.7,3.7,0.455,0.0,0.0,0.0,1.3,2.7,0.5,1.3,2.7,4.0,1.7,0.3,0.0,0.3,1.3
T.J. Bamba,BRK,5,16.1,4.6,1.4,5.6,0.25,0.2,2.2,0.091,1.6,2.8,0.571,0.8,2.0,2.8,0.8,1.2,0.0,0.8,2.4
Taevion Kinsey,SAC,6,8.9,4.5,1.8,3.3,0.55,0.3,1.5,0.222,0.5,0.7,0.75,0.5,0.7,1.2,0.2,0.7,0.0,0.2,0.3
Zyon Pullin,MEM,2,19.5,4.5,1.0,4.5,0.222,0.5,1.5,0.333,2.0,2.0,1.0,1.0,1.5,2.5,3.0,0.0,0.0,1.0,0.0
Buddy Boeheim,IND,4,16.6,4.5,1.5,5.8,0.261,1.3,5.0,0.25,0.3,0.5,0.5,0.3,1.3,1.5,1.0,0.3,0.3,0.5,1.5
Zach Hicks,BOS,2,9.1,4.5,1.5,3.5,0.429,1.5,3.5,0.429,0.0,0.0,0.0,0.0,1.5,1.5,0.5,0.0,0.0,0.5,1.0
Malik Williams,MIL,5,11.5,4.4,1.8,4.0,0.45,0.4,1.6,0.25,0.4,1.0,0.4,1.2,3.4,4.6,1.2,0.2,0.4,0.2,1.4
Jalen Crutcher,ORL,5,18.5,4.4,1.4,5.4,0.259,1.2,4.2,0.286,0.4,0.8,0.5,0.6,1.6,2.2,3.0,0.4,0.0,1.8,0.6
Yanic Konan Niederhauser,LAC,3,24.1,4.3,2.0,4.7,0.429,0.0,0.7,0.0,0.3,0.7,0.5,1.0,4.0,5.0,0.0,2.0,1.7,1.7,3.0
"Dwight Murray, Jr.",ATL,3,13.6,4.3,1.7,3.7,0.455,0.3,0.7,0.5,0.7,0.7,1.0,0.0,0.7,0.7,3.7,0.7,0.0,1.0,0.3
Johnell Davis,ORL,3,17.9,4.3,1.3,3.3,0.4,0.3,1.0,0.333,1.3,1.7,0.8,0.3,3.0,3.3,2.3,1.3,0.0,2.3,2.3
John Ukomadu,DET,3,13.7,4.3,1.7,4.7,0.357,0.7,2.7,0.25,0.3,0.7,0.5,1.0,2.0,3.0,0.3,0.3,1.3,0.7,2.3
Obinna Anochili,DAL,3,11.7,4.3,1.7,3.7,0.455,0.7,1.3,0.5,0.3,0.7,0.5,0.7,1.3,2.0,0.3,0.0,0.7,0.3,1.7
Zhuric Phelps,DAL,3,15.9,4.3,2.0,6.3,0.316,0.3,2.0,0.167,0.0,1.0,0.0,0.3,1.3,1.7,3.3,0.3,0.7,1.7,1.3
Arthur Kaluma,LAL,3,12.8,4.3,1.7,3.7,0.455,0.7,1.7,0.4,0.3,0.7,0.5,0.3,1.7,2.0,0.7,0.0,0.7,0.7,2.7
Selton Miguel,UTA,3,4.6,4.3,1.7,3.0,0.556,1.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.7,0.3
Luka Scuka,NYK,4,11.2,4.3,1.0,4.0,0.25,0.5,2.8,0.182,1.8,2.5,0.7,0.5,1.0,1.5,0.5,0.5,0.3,0.0,1.5
David Muoka,CHI,5,14.1,4.0,1.8,4.0,0.45,0.0,0.0,0.0,0.4,0.6,0.667,1.8,2.8,4.6,0.8,0.4,1.0,1.4,1.6
Moses Brown,HOU,5,6.4,4.0,1.2,2.0,0.6,0.0,0.0,0.0,1.6,2.6,0.615,1.6,2.6,4.2,0.2,0.4,0.0,0.6,1.8
Darius Brown II,CLE,4,21.1,4.0,1.0,5.8,0.174,0.3,3.3,0.077,1.8,1.8,1.0,1.5,3.0,4.5,3.8,1.0,0.0,1.3,3.0
Coleman Hawkins,GOS,4,15.1,4.0,1.3,3.3,0.385,0.3,1.5,0.167,1.3,1.5,0.833,1.8,2.8,4.5,1.5,1.5,0.0,3.0,2.3
Cameron Tyson,POR,5,12.3,4.0,1.4,5.6,0.25,1.2,4.6,0.261,0.0,0.0,0.0,0.6,1.8,2.4,1.4,0.0,0.4,0.0,1.4
Romeo Weems,CHI,2,14.3,4.0,2.0,5.5,0.364,0.0,2.5,0.0,0.0,0.0,0.0,2.0,2.5,4.5,0.5,1.0,1.0,1.0,2.5
Nojel Eastern,MIN,1,21.3,4.0,1.0,5.0,0.2,0.0,1.0,0.0,2.0,2.0,1.0,3.0,1.0,4.0,1.0,2.0,1.0,1.0,0.0
Julian Reese,LAL,2,12.8,4.0,1.0,2.0,0.5,0.0,0.0,0.0,2.0,3.5,0.571,1.0,2.0,3.0,1.0,0.0,0.0,1.5,2.0
Solomon Young,PHX,2,8.5,4.0,1.5,4.0,0.375,0.5,1.5,0.333,0.5,1.0,0.5,1.0,0.5,1.5,0.0,0.5,0.5,0.0,2.0
