col_0,col_1,col_2,col_3
Joshua Bonga,G,Questionable - Ankle - 3/12/25,"Bonga is dealing with an ankle injury, and it is unclear if he will suit up for next contest."
David Douglas Jr.,G,out for season - Knee - 3/12/25,"Douglas Jr. sustained a knee injury, and he has been shut down for the remainder of the season."
Caleb Williams,F,Questionable - Undisclosed - 3/12/25,"Williams is dealing with an undisclosed injury, and it is unclear if he will take the court for the next game."
Thomas Sorber,F,out for season - Foot - 3/12/25,"Sorber has been out of commission due to foot injury, and he is likely to miss the remainder of the season."
Julius Halaifonua,C,Out indefinitely - Ankle - 3/12/25,"Halaifonua is out of commission due to a fractured ankle, and he will miss an extended period."
Luke O'Brien,F,Out indefinitely - Foot - 3/12/25,"O'Brien has been out of commission due to a foot injury, and he will miss an extended period."
Kowacie Reeves Jr.,G,Out indefinitely - Ankle - 3/12/25,"Reeves is managing an ankle injury, and the team officials have yet to provide an exact return date."
Doryan Onwuchekwa,C,Out indefinitely - Personal - 3/12/25,"Onwuchekwa is dealing with a personal matter, and he is without a definitive timetable for return."
Javian McCollum,G,Out indefinitely - Head - 3/12/25,"McCollum is managing a head injury, and he will miss an undetermined length of time."
Steele Venters,G,out for season - Achilles - 2/1/25,"Venters is dealing with achilles, and he is likely to miss the remainder of the season."
Anthony Roy,G,Out indefinitely - Foot - 1/11/25,"Roy has been out of commission due to foot injury, and it is unclear how long he will be idle."
J'Wan Roberts,F,Questionable - Ankle - 3/15/25,"Roberts is managing an ankle injury, and it is unclear if he will suit up for next game."
Ramon Walker Jr.,G,Out Indefinitely - Hand - 1/16/25,"Walker Jr. is out of commission due to a hand injury, and there is no timetable for return."
Ose Okojie,G,Out indefinitely - Undisclosed - 1/4/25,"Okojie has been out of commission due to an undisclosed injury, and it is unclear how long he will be idle."
Bryce Harris,G,Out indefinitely - Foot - 12/31/24,"Harris has been out of the lineup with a foot injury, and there is no timetable for return."
Carey Booth,F,Questionable - Undisclosed - 3/14/25,"Booth is dealing with an undisclosed injury, and it is unclear if he will be available for the next contest."
Ty Rodgers,G,out of season - Undisclosed - 11/8/24,"Rodgers has been sidelined due to redshirt, and has been shut down for the remainder of the season."
